DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Marked that target with a Narc.,Marked Target With Narc 1,pilot/Adder/Marked Target With Narc 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc deployed on target.,Marked Target With Narc 2,pilot/Adder/Marked Target With Narc 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,"Narc successful, target marked.",Marked Target With Narc 3,pilot/Adder/Marked Target With Narc 3.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Lighting up that hostile with TAG.,Marked Target With Tag 1,pilot/Adder/Marked Target With Tag 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Lasing target with TAG.,Marked Target With Tag 2,pilot/Adder/Marked Target With Tag 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Marking that target with TAG.,Marked Target With Tag 3,pilot/Adder/Marked Target With Tag 3.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Target is lit with TAG.,Marked Target With Tag 4,pilot/Adder/Marked Target With Tag 4.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,"Heh, Narc makes this too easy.",Firing At Target Marked With Narc 1,pilot/Adder/Firing At Target Marked With Narc 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Firing on Narc!,Firing At Target Marked With Narc 2,pilot/Adder/Firing At Target Marked With Narc 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Missile lock on Narc'd target!,Firing At Target Marked With Narc 3,pilot/Adder/Firing At Target Marked With Narc 3.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Narc'd target engaged!,Firing At Target Marked With Narc 4,pilot/Adder/Firing At Target Marked With Narc 4.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Firing on the lit target!,Firing At Target Marked With Tag 1,pilot/Adder/Firing At Target Marked With Tag 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,"Lased target acquired, firing!",Firing At Target Marked With Tag 2,pilot/Adder/Firing At Target Marked With Tag 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Weapons on lased target!,Firing At Target Marked With Tag 3,pilot/Adder/Firing At Target Marked With Tag 3.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,"TAG observed, engaging!",Firing At Target Marked With Tag 4,pilot/Adder/Firing At Target Marked With Tag 4.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Cold. Reminds me a bit of Lothario,Biome Arctic 1,pilot/Adder/Biome Arctic 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,I suppose most people would find this pretty cold. I rather find it peaceful.,Biome Arctic 2,pilot/Adder/Biome Arctic 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"It's cold, but not much wildlife here. Scratch this planet off the list I suppose.",Biome Arctic 3,pilot/Adder/Biome Arctic 3.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Snow almost looks pristine. Almost feels like we're tainting it with our battle here.,Biome Arctic 4,pilot/Adder/Biome Arctic 4.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"This place is freezing, even for me.",Biome Arctic Glacial 1,pilot/Adder/Biome Arctic Glacial 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"Damn, can feel the chill in the air from here. Reminds me of blizzards back on Lothario",Biome Arctic Glacial 2,pilot/Adder/Biome Arctic Glacial 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,Any colder and the sensors will start acting up. Than we'll be down to just our eyes to spot targets.,Biome Arctic Glacial 3,pilot/Adder/Biome Arctic Glacial 3.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"Commander, just because the 'Mechs are operational in these conditions, doesn't make it comfortable. Let's make this quick.",Biome Arctic Glacial 4,pilot/Adder/Biome Arctic Glacial 4.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,Nothing here but dust and tumbleweeds.,Biome Canyon 1,pilot/Adder/Biome Canyon 1.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Dust, dust, and more dust. My eyes are blurring this place is so boring.",Biome Canyon 2,pilot/Adder/Biome Canyon 2.wav,,,,,,,,
Adder_DV,Adder_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Great, more dust. Wish I had a drink.",Biome Canyon 3,pilot/Adder/Biome Canyon 3.wav,,,,,,,,
