DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This should be good.,PilotJ35,pilot/POAllyBaron/PilotJ35.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm ground Zero.,PilotJ3,pilot/POAllyBaron/PilotJ3.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Whaoooo!,PilotJ34,pilot/POAllyBaron/PilotJ34.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'ts as good as done!,PilotJ1,pilot/POAllyBaron/PilotJ1.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Baron here.,PilotJ9,pilot/POAllyBaron/PilotJ9.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Baron.,PilotJ10,pilot/POAllyBaron/PilotJ10.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Baron here.,PilotJ9,pilot/POAllyBaron/PilotJ9.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'ts as good as done!,PilotJ1,pilot/POAllyBaron/PilotJ1.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Baron.,PilotJ10,pilot/POAllyBaron/PilotJ10.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Baron here.,PilotJ9,pilot/POAllyBaron/PilotJ9.wav,,,,,,,,
Baron_DV,Baron_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'ts as good as done!,PilotJ1,pilot/POAllyBaron/PilotJ1.wav,,,,,,,,
