DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Blaze here.,PilotZ9,pilot/POAllyBlaze/PilotZ9.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Blaze.,PilotZ10,pilot/POAllyBlaze/PilotZ10.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Blaze here.,PilotZ9,pilot/POAllyBlaze/PilotZ9.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Blaze.,PilotZ10,pilot/POAllyBlaze/PilotZ10.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Blaze here.,PilotZ9,pilot/POAllyBlaze/PilotZ9.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Blaze.,PilotZ10,pilot/POAllyBlaze/PilotZ10.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,Firing from position.,PilotZ8,pilot/POAllyBlaze/PilotZ8.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,Ranged attack it is.,PilotZ29,pilot/POAllyBlaze/PilotZ29.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,This will hurt.,PilotZ36,pilot/POAllyBlaze/PilotZ36.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,No chance of missing this shot.,PilotZ35,pilot/POAllyBlaze/PilotZ35.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack,Engaging target.,PilotZ34,pilot/POAllyBlaze/PilotZ34.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.lance,Firing from position.,PilotZ8,pilot/POAllyBlaze/PilotZ8.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.lance,Ranged attack it is.,PilotZ29,pilot/POAllyBlaze/PilotZ29.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This will hurt.,PilotZ36,pilot/POAllyBlaze/PilotZ36.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.Lance,No chance of missing this shot.,PilotZ35,pilot/POAllyBlaze/PilotZ35.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Engaging target.,PilotZ34,pilot/POAllyBlaze/PilotZ34.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Follow,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Follow,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Follow,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping sir.,PilotZ33,pilot/POAllyBlaze/PilotZ33.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Stopping sir.,PilotZ33,pilot/POAllyBlaze/PilotZ33.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Move,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Move,"Yes, sir!",PilotZ1,pilot/POAllyBlaze/PilotZ1.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Move,I'll take care of it.,PilotZ2,pilot/POAllyBlaze/PilotZ2.wav,,,,,,,,
Blaze_DV,Blaze_Persona,DialogueContext.Command.Affirmative.Move.Lance,"Consider it done, Sir.",PilotZ0,pilot/POAllyBlaze/PilotZ0.wav,,,,,,,,
