DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is gonna get hot!,pilota32,pilot/POAllyBubba/pilota32.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"I'm on guard, alright.",pilota34,pilot/POAllyBubba/pilota34.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Bubba here.,pilota37,pilot/POAllyBubba/pilota37.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This here's Bubba.,pilota38,pilot/POAllyBubba/pilota38.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is gonna get hot!,pilota32,pilot/POAllyBubba/pilota32.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Bubba here.,pilota37,pilot/POAllyBubba/pilota37.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This here's Bubba.,pilota38,pilot/POAllyBubba/pilota38.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,One trick shot coming up!,pilota3,pilot/POAllyBubba/pilota3.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,This is gonna get hot!,pilota32,pilot/POAllyBubba/pilota32.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,Target confirmed.,pilota35,pilot/POAllyBubba/pilota35.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,Target acknowledged.,pilota36,pilot/POAllyBubba/pilota36.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,You n' me gonna go 'round!,pilota33,pilot/POAllyBubba/pilota33.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack,You're all mine now!,pilota31,pilot/POAllyBubba/pilota31.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This is gonna get hot!,pilota32,pilot/POAllyBubba/pilota32.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target confirmed.,pilota35,pilot/POAllyBubba/pilota35.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target acknowledged.,pilota36,pilot/POAllyBubba/pilota36.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You're all mine now!,pilota31,pilot/POAllyBubba/pilota31.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I ain't quite done yet!,pilota6,pilot/POAllyBubba/pilota6.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move.Lance,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move.Lance,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move.Lance,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Move.Lance,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Roger that,pilota0,pilot/POAllyBubba/pilota0.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Affirmative.,pilota1,pilot/POAllyBubba/pilota1.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Right.,pilota2,pilot/POAllyBubba/pilota2.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,One trick shot coming up!,pilota3,pilot/POAllyBubba/pilota3.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,This is gonna get hot!,pilota32,pilot/POAllyBubba/pilota32.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Affirmative.Weapons_Free,You're all mine now!,pilota31,pilot/POAllyBubba/pilota31.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Negative,I ain't quite done yet!,pilota6,pilot/POAllyBubba/pilota6.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Negative,"I can't do that, sir.",pilota23,pilot/POAllyBubba/pilota23.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Negative.Attack,I ain't quite done yet!,pilota6,pilot/POAllyBubba/pilota6.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Negative.Attack,"I can't do that, sir.",pilota23,pilot/POAllyBubba/pilota23.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Negative.Move,My path is blocked.,pilota22,pilot/POAllyBubba/pilota22.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Negative.Move,"I can't do that, sir.",pilota23,pilot/POAllyBubba/pilota23.wav,,,,,,,,
Bubba_DV,Bubba_Persona,DialogueContext.Command.Success.Move,Got it.,pilota8,pilot/POAllyBubba/pilota8.wav,,,,,,,,
