DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Bulwark_DV,Bulwark_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Bulwark here, You called, Commander?",Announcement1,pilot/Bulwark/Announcement1.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"You, need something from Bulwark, little one?",Announcement2,pilot/Bulwark/Announcement2.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"No please, go on. Bulwark's not busy.",Announcement3,pilot/Bulwark/Announcement3.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"You want the best, Commander? Well you got Bulwark. ",Announcement4,pilot/Bulwark/Announcement4.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,"Oh yeah, Narc's locked in.",NarcMark1,pilot/Bulwark/NarcMark1.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc outbound. Think there's a cop joke there...,NarcMark2,pilot/Bulwark/NarcMark2.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Target's marked with a Narc! Ha.,NarcMark3,pilot/Bulwark/NarcMark3.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,"Tag, you're it.",TargetTag1,pilot/Bulwark/TargetTag1.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Tag'em and bag'em cupcakes!,TargetTag2,pilot/Bulwark/TargetTag2.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,That target is painted like Picaso.,TargetTag3,pilot/Bulwark/TargetTag3.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Didn't tell me he was a cop... He's going down.,AttackNarc,pilot/Bulwark/AttackNarc.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Oh so that's what the laser pointer does...,AttackTag,pilot/Bulwark/AttackTag.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,I knew I should of packed a sweater.,BiomeArctic,pilot/Bulwark/BiomeArctic.wav,,,,,,,,
Bulwark_DV,Bulwark_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"Colder than a shoulder here, Commander.",BiomeGlacial,pilot/Bulwark/BiomeGlacial.wav,,,,,,,,
