DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Chainsaw here.,Line 2,pilot/Chainsaw/Line 2.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Chainsaw.,Line 3,pilot/Chainsaw/Line 3.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Chainsaw reporting.,Line 4,pilot/Chainsaw/Line 4.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'm Chainsaw.,Line 5,pilot/Chainsaw/Line 5.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Marked that target with a Narc.,Line 6,pilot/Chainsaw/Line 6.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc deployed on target.,Line 7,pilot/Chainsaw/Line 7.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,"Narc successful, target marked.",Line 8,pilot/Chainsaw/Line 8.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Lighting up that hostile with TAG.,Line 9,pilot/Chainsaw/Line 9.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Lasing target with TAG.,Line 10,pilot/Chainsaw/Line 10.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Marking that target with TAG.,Line 11,pilot/Chainsaw/Line 11.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Target is lit with TAG.,Line 12,pilot/Chainsaw/Line 12.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Firing on Narc'd target!,Line 13,pilot/Chainsaw/Line 13.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Firing on Narc'd target!,Line 13 Alt,pilot/Chainsaw/Line 13 Alt.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Firing on Narc!,Line 14,pilot/Chainsaw/Line 14.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Missile lock on Narc'd target!,Line 15,pilot/Chainsaw/Line 15.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Narc'd target engaged!,Line 16,pilot/Chainsaw/Line 16.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Firing on the lit target!,Line 17,pilot/Chainsaw/Line 17.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,"Lased target acquired, firing!",Line 18,pilot/Chainsaw/Line 18.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Weapons on lased target!,Line 19,pilot/Chainsaw/Line 19.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,"TAG observed, engaging!",Line 20,pilot/Chainsaw/Line 20.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,"TAG observed, engaging!",Line 20 Alt,pilot/Chainsaw/Line 20 Alt.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Argh. Dammit, I hate the cold.",Line 21,pilot/Chainsaw/Line 21.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Argh. Dammit, I hate the cold.",Line 21 Alt,pilot/Chainsaw/Line 21 Alt.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Argh. Dammit, I hate the cold.",Line 21 Alt 2,pilot/Chainsaw/Line 21 Alt 2.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,This is definitely not my kind of place.,Line 22,pilot/Chainsaw/Line 22.wav,,,,,,,,
Chainsaw_DV,Chainsaw_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Hate the cold, hate snow. Hate this place.",Line 23,pilot/Chainsaw/Line 23.wav,,,,,,,,
