DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Time to get nasty!,pilotb32,pilot/POAllyChopper/pilotb32.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"I'm on guard, don't you worry!",pilotb34,pilot/POAllyChopper/pilotb34.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Mission.Intro,It's Chopper.,pilotb37,pilot/POAllyChopper/pilotb37.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Chopper here.,pilotb38,pilot/POAllyChopper/pilotb38.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Ahh, let's do it!",pilotb33,pilot/POAllyChopper/pilotb33.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Time to get nasty!,pilotb32,pilot/POAllyChopper/pilotb32.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,It's Chopper.,pilotb37,pilot/POAllyChopper/pilotb37.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Chopper here.,pilotb38,pilot/POAllyChopper/pilotb38.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative,Roger that.,pilotb0,pilot/POAllyChopper/pilotb0.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative,"Ahh, let's do it!",pilotb33,pilot/POAllyChopper/pilotb33.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative,I copy that.,pilotb2,pilot/POAllyChopper/pilotb2.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,Roger that.,pilotb0,pilot/POAllyChopper/pilotb0.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,I got him.,pilotb1,pilot/POAllyChopper/pilotb1.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,I copy that.,pilotb2,pilot/POAllyChopper/pilotb2.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,I'll take out the pruning shears!,pilotb3,pilot/POAllyChopper/pilotb3.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,Time to get nasty!,pilotb32,pilot/POAllyChopper/pilotb32.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,Copy that target.,pilotb35,pilot/POAllyChopper/pilotb35.wav,,,,,,,,
chopper_DV,chopper_Persona,DialogueContext.Command.Affirmative.Attack,Target locked.,pilotb36,pilot/POAllyChopper/pilotb36.wav,,,,,,,,
