DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Haha!,pilotc32,pilot/POAllyClaymore/pilotc32.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Claymore reporting.,pilotc37,pilot/POAllyClaymore/pilotc37.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Claymore.,pilotc38,pilot/POAllyClaymore/pilotc38.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Ready as I'll ever be.,pilotc6,pilot/POAllyClaymore/pilotc6.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm ready to go!,pilotc7,pilot/POAllyClaymore/pilotc7.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Here we go!,pilotc33,pilot/POAllyClaymore/pilotc33.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Someone likes me!,pilotc19,pilot/POAllyClaymore/pilotc19.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Ready as I'll ever be.,pilotc6,pilot/POAllyClaymore/pilotc6.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm ready to go!,pilotc7,pilot/POAllyClaymore/pilotc7.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Haha!,pilotc32,pilot/POAllyClaymore/pilotc32.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Claymore reporting.,pilotc37,pilot/POAllyClaymore/pilotc37.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Claymore.,pilotc38,pilot/POAllyClaymore/pilotc38.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative,Aye.,pilotc0,pilot/POAllyClaymore/pilotc0.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative,"I copy, sir.",pilotc1,pilot/POAllyClaymore/pilotc1.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative,Acknowledged.,pilotc2,pilot/POAllyClaymore/pilotc2.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative,That'll be my pleasure.,pilotc36,pilot/POAllyClaymore/pilotc36.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative,I'll do my best.,pilotc3,pilot/POAllyClaymore/pilotc3.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,Aye.,pilotc0,pilot/POAllyClaymore/pilotc0.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,"I copy, sir.",pilotc1,pilot/POAllyClaymore/pilotc1.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,Acknowledged.,pilotc2,pilot/POAllyClaymore/pilotc2.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,I'll do my best.,pilotc3,pilot/POAllyClaymore/pilotc3.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,Copy that target.,pilotc35,pilot/POAllyClaymore/pilotc35.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,That'll be my pleasure.,pilotc36,pilot/POAllyClaymore/pilotc36.wav,,,,,,,,
claymore_DV,claymore_Persona,DialogueContext.Command.Affirmative.Attack,Here we go!,pilotc33,pilot/POAllyClaymore/pilotc33.wav,,,,,,,,
