DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Here we go!,pilotd32,pilot/POAllyCobra/pilotd32.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Cobra reporting.,pilotd37,pilot/POAllyCobra/pilotd37.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is cobra.,pilotd38,pilot/POAllyCobra/pilotd38.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Good to go.,pilotd7,pilot/POAllyCobra/pilotd7.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Hmm, throttle's twitchy.",pilotd31,pilot/POAllyCobra/pilotd31.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This'll be quick.,pilotd33,pilot/POAllyCobra/pilotd33.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Here we go!,pilotd32,pilot/POAllyCobra/pilotd32.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Cobra reporting.,pilotd37,pilot/POAllyCobra/pilotd37.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is cobra.,pilotd38,pilot/POAllyCobra/pilotd38.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Good to go.,pilotd7,pilot/POAllyCobra/pilotd7.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative,No problem.,pilotd1,pilot/POAllyCobra/pilotd1.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative,Roger that.,pilotd2,pilot/POAllyCobra/pilotd2.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,No problem.,pilotd1,pilot/POAllyCobra/pilotd1.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,Roger that.,pilotd2,pilot/POAllyCobra/pilotd2.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,"Difficult, but no problem.",pilotd3,pilot/POAllyCobra/pilotd3.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,Here we go!,pilotd32,pilot/POAllyCobra/pilotd32.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,Target acknowledged.,pilotd35,pilot/POAllyCobra/pilotd35.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,Target confirmed.,pilotd36,pilot/POAllyCobra/pilotd36.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack,This'll be quick.,pilotd33,pilot/POAllyCobra/pilotd33.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,No problem.,pilotd1,pilot/POAllyCobra/pilotd1.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that.,pilotd2,pilot/POAllyCobra/pilotd2.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This'll be quick.,pilotd33,pilot/POAllyCobra/pilotd33.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Here we go!,pilotd32,pilot/POAllyCobra/pilotd32.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target acknowledged.,pilotd35,pilot/POAllyCobra/pilotd35.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target confirmed.,pilotd36,pilot/POAllyCobra/pilotd36.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Difficult, but no problem.",pilotd3,pilot/POAllyCobra/pilotd3.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Follow,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Follow,No problem.,pilotd1,pilot/POAllyCobra/pilotd1.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Follow,Roger that.,pilotd2,pilot/POAllyCobra/pilotd2.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Follow.Lance,No problem.,pilotd1,pilot/POAllyCobra/pilotd1.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Roger that.,pilotd2,pilot/POAllyCobra/pilotd2.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Hold_Fire,No problem.,pilotd1,pilot/POAllyCobra/pilotd1.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Roger that.,pilotd2,pilot/POAllyCobra/pilotd2.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Hold_Fire,"Difficult, but no problem.",pilotd3,pilot/POAllyCobra/pilotd3.wav,,,,,,,,
Cobra_DV,Cobra_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Affirmative.,pilotd0,pilot/POAllyCobra/pilotd0.wav,,,,,,,,
