DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This should not be a problem.,PilotR35,pilot/POAllyCountess/PilotR35.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Countess here.,PilotR9,pilot/POAllyCountess/PilotR9.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Countess.,PilotR10,pilot/POAllyCountess/PilotR10.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Countess here.,PilotR9,pilot/POAllyCountess/PilotR9.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Proceeding as ordered.,PilotR1,pilot/POAllyCountess/PilotR1.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Countess.,PilotR10,pilot/POAllyCountess/PilotR10.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Countess here.,PilotR9,pilot/POAllyCountess/PilotR9.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Proceeding as ordered.,PilotR1,pilot/POAllyCountess/PilotR1.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Countess.,PilotR10,pilot/POAllyCountess/PilotR10.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative,Executing your order.,PilotR0,pilot/POAllyCountess/PilotR0.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative,Proceeding as ordered.,PilotR1,pilot/POAllyCountess/PilotR1.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative,As ordered sir.,PilotR2,pilot/POAllyCountess/PilotR2.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative.Attack,Executing your order.,PilotR0,pilot/POAllyCountess/PilotR0.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative.Attack,Proceeding as ordered.,PilotR1,pilot/POAllyCountess/PilotR1.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative.Attack,As ordered sir.,PilotR2,pilot/POAllyCountess/PilotR2.wav,,,,,,,,
Countess_DV,Countess_Persona,DialogueContext.Command.Affirmative.Attack,Engaging from position.,PilotR8,pilot/POAllyCountess/PilotR8.wav,,,,,,,,
