DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Finger on the trigger.,pilote32,pilot/POAllyCreep/pilote32.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Hmm, it's Creep.",pilote37,pilot/POAllyCreep/pilote37.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Creep.,pilote38,pilot/POAllyCreep/pilote38.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Hohohohoo.,pilote12,pilot/POAllyCreep/pilote12.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"I'm gonna like this, hmm.",pilote31,pilot/POAllyCreep/pilote31.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Finger on the trigger.,pilote32,pilot/POAllyCreep/pilote32.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Uh-huh.,pilote35,pilot/POAllyCreep/pilote35.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Hohohohoo.,pilote12,pilot/POAllyCreep/pilote12.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Hmm, it's Creep.",pilote37,pilot/POAllyCreep/pilote37.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Creep.,pilote38,pilot/POAllyCreep/pilote38.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative,Confirmed.,pilote0,pilot/POAllyCreep/pilote0.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative,Okay,pilote1,pilot/POAllyCreep/pilote1.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative,I got it.,pilote2,pilot/POAllyCreep/pilote2.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative,Uh-huh.,pilote35,pilot/POAllyCreep/pilote35.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative,Riiight.,pilote36,pilot/POAllyCreep/pilote36.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,Confirmed.,pilote0,pilot/POAllyCreep/pilote0.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,Okay,pilote1,pilot/POAllyCreep/pilote1.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,I got it.,pilote2,pilot/POAllyCreep/pilote2.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,This should mess 'em up.,pilote3,pilot/POAllyCreep/pilote3.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,Finger on the trigger.,pilote32,pilot/POAllyCreep/pilote32.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,Uh-huh.,pilote35,pilot/POAllyCreep/pilote35.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,Riiight.,pilote36,pilot/POAllyCreep/pilote36.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,I'm coming for ya,pilote33,pilot/POAllyCreep/pilote33.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack,"I'm gonna like this, hmm.",pilote31,pilot/POAllyCreep/pilote31.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Confirmed.,pilote0,pilot/POAllyCreep/pilote0.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Okay,pilote1,pilot/POAllyCreep/pilote1.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I got it.,pilote2,pilot/POAllyCreep/pilote2.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This should mess 'em up.,pilote3,pilot/POAllyCreep/pilote3.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Finger on the trigger.,pilote32,pilot/POAllyCreep/pilote32.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Uh-huh.,pilote35,pilot/POAllyCreep/pilote35.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Riiight.,pilote36,pilot/POAllyCreep/pilote36.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"I'm gonna like this, hmm.",pilote31,pilot/POAllyCreep/pilote31.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm coming for ya,pilote33,pilot/POAllyCreep/pilote33.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Follow,Confirmed.,pilote0,pilot/POAllyCreep/pilote0.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Follow,Okay,pilote1,pilot/POAllyCreep/pilote1.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Follow,I got it.,pilote2,pilot/POAllyCreep/pilote2.wav,,,,,,,,
Creep_DV,Creep_Persona,DialogueContext.Command.Affirmative.Follow,Uh-huh.,pilote35,pilot/POAllyCreep/pilote35.wav,,,,,,,,
