DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Dragon reporting.,PilotY9,pilot/POAllyDragon/PilotY9.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Dragon.,PilotY10,pilot/POAllyDragon/PilotY10.wav,, ,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Order acknowledged.,PilotY0,pilot/POAllyDragon/PilotY0.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Dragon reporting.,PilotY9,pilot/POAllyDragon/PilotY9.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Dragon.,PilotY10,pilot/POAllyDragon/PilotY10.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Dragon reporting.,PilotY9,pilot/POAllyDragon/PilotY9.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Consider it done.,PilotY1,pilot/POAllyDragon/PilotY1.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Dragon.,PilotY10,pilot/POAllyDragon/PilotY10.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.Command.Affirmative,Order acknowledged.,PilotY0,pilot/POAllyDragon/PilotY0.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.Command.Affirmative,Consider it done.,PilotY1,pilot/POAllyDragon/PilotY1.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.Command.Affirmative,"Yes, sir.",PilotY2,pilot/POAllyDragon/PilotY2.wav,,,,,,,,
Dragon_DV,Dragon_Persona,DialogueContext.Command.Affirmative.Attack,Order acknowledged.,PilotY0,pilot/POAllyDragon/PilotY0.wav,,,,,,,,
