DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Falcon here.,PilotU9,pilot/POAllyFalcon/PilotU9.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Falcon.,PilotU10,pilot/POAllyFalcon/PilotU10.wav,, ,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Falcon here.,PilotU9,pilot/POAllyFalcon/PilotU9.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Acknowledged.,PilotU1,pilot/POAllyFalcon/PilotU1.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Falcon.,PilotU10,pilot/POAllyFalcon/PilotU10.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Falcon here.,PilotU9,pilot/POAllyFalcon/PilotU9.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Acknowledged.,PilotU1,pilot/POAllyFalcon/PilotU1.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Falcon.,PilotU10,pilot/POAllyFalcon/PilotU10.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative,Very good sir.,PilotU0,pilot/POAllyFalcon/PilotU0.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative,Acknowledged.,PilotU1,pilot/POAllyFalcon/PilotU1.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative,Yes sir!,PilotU2,pilot/POAllyFalcon/PilotU2.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Very good sir.,PilotU0,pilot/POAllyFalcon/PilotU0.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Acknowledged.,PilotU1,pilot/POAllyFalcon/PilotU1.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir!,PilotU2,pilot/POAllyFalcon/PilotU2.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Firing from here.,PilotU8,pilot/POAllyFalcon/PilotU8.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Altering attack range.,PilotU29,pilot/POAllyFalcon/PilotU29.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Right in my sights!,PilotU36,pilot/POAllyFalcon/PilotU36.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,Bet this will hurt!,PilotU35,pilot/POAllyFalcon/PilotU35.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack,I barely even have to aim.,PilotU34,pilot/POAllyFalcon/PilotU34.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Very good sir.,PilotU0,pilot/POAllyFalcon/PilotU0.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Acknowledged.,PilotU1,pilot/POAllyFalcon/PilotU1.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir!,PilotU2,pilot/POAllyFalcon/PilotU2.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.lance,Firing from here.,PilotU8,pilot/POAllyFalcon/PilotU8.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.lance,Altering attack range.,PilotU29,pilot/POAllyFalcon/PilotU29.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Right in my sights!,PilotU36,pilot/POAllyFalcon/PilotU36.wav,,,,,,,,
Falcon_DV,Falcon_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Bet this will hurt!,PilotU35,pilot/POAllyFalcon/PilotU35.wav,,,,,,,,
