DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Leave it to me!,PilotK0,pilot/POAllyFiend/PilotK0.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Ha ha ha, woo ha!",PilotK34,pilot/POAllyFiend/PilotK34.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Fiend here.,PilotK9,pilot/POAllyFiend/PilotK9.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm Fiend.,PilotK10,pilot/POAllyFiend/PilotK10.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Fiend here.,PilotK9,pilot/POAllyFiend/PilotK9.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I got it!,PilotK1,pilot/POAllyFiend/PilotK1.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm Fiend.,PilotK10,pilot/POAllyFiend/PilotK10.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Fiend here.,PilotK9,pilot/POAllyFiend/PilotK9.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I got it!,PilotK1,pilot/POAllyFiend/PilotK1.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'm Fiend.,PilotK10,pilot/POAllyFiend/PilotK10.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.Command.Affirmative,Leave it to me!,PilotK0,pilot/POAllyFiend/PilotK0.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.Command.Affirmative,I got it!,PilotK1,pilot/POAllyFiend/PilotK1.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.Command.Affirmative,Piece of cake!,PilotK2,pilot/POAllyFiend/PilotK2.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.Command.Affirmative.Attack,Leave it to me!,PilotK0,pilot/POAllyFiend/PilotK0.wav,,,,,,,,
Fiend_DV,Fiend_Persona,DialogueContext.Command.Affirmative.Attack,I got it!,PilotK1,pilot/POAllyFiend/PilotK1.wav,,,,,,,,
