DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Anybody watching this?,pilotg32,pilot/POAllyFlash/pilotg32.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Fun time!,pilotg33,pilot/POAllyFlash/pilotg33.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Flash here.,pilotg37,pilot/POAllyFlash/pilotg37.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Sir, this is Flash.",pilotg38,pilot/POAllyFlash/pilotg38.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,What ever.,pilotg6,pilot/POAllyFlash/pilotg6.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Back in action.,pilotg7,pilot/POAllyFlash/pilotg7.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Whoosh that was fun!,pilotg8,pilot/POAllyFlash/pilotg8.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Back in action.,pilotg7,pilot/POAllyFlash/pilotg7.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Flash here.,pilotg37,pilot/POAllyFlash/pilotg37.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Sir, this is Flash.",pilotg38,pilot/POAllyFlash/pilotg38.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,What ever.,pilotg6,pilot/POAllyFlash/pilotg6.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Fun time!,pilotg33,pilot/POAllyFlash/pilotg33.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative,Wont be a problem.,pilotg0,pilot/POAllyFlash/pilotg0.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative,Roger that.,pilotg1,pilot/POAllyFlash/pilotg1.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative,I copy.,pilotg2,pilot/POAllyFlash/pilotg2.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,Wont be a problem.,pilotg0,pilot/POAllyFlash/pilotg0.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,Roger that.,pilotg1,pilot/POAllyFlash/pilotg1.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,I copy.,pilotg2,pilot/POAllyFlash/pilotg2.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,Lining up the shot.,pilotg3,pilot/POAllyFlash/pilotg3.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,He's mine!,pilotg35,pilot/POAllyFlash/pilotg35.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,Target confirmed!,pilotg36,pilot/POAllyFlash/pilotg36.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,Fun time!,pilotg33,pilot/POAllyFlash/pilotg33.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack,Say good bye!,pilotg31,pilot/POAllyFlash/pilotg31.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Wont be a problem.,pilotg0,pilot/POAllyFlash/pilotg0.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that.,pilotg1,pilot/POAllyFlash/pilotg1.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I copy.,pilotg2,pilot/POAllyFlash/pilotg2.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Lining up the shot.,pilotg3,pilot/POAllyFlash/pilotg3.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Fun time!,pilotg33,pilot/POAllyFlash/pilotg33.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,He's mine!,pilotg35,pilot/POAllyFlash/pilotg35.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target confirmed!,pilotg36,pilot/POAllyFlash/pilotg36.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Say good bye!,pilotg31,pilot/POAllyFlash/pilotg31.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Follow,Wont be a problem.,pilotg0,pilot/POAllyFlash/pilotg0.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Follow,Roger that.,pilotg1,pilot/POAllyFlash/pilotg1.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Follow,I copy.,pilotg2,pilot/POAllyFlash/pilotg2.wav,,,,,,,,
Flash_DV,Flash_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Wont be a problem.,pilotg0,pilot/POAllyFlash/pilotg0.wav,,,,,,,,
