DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Ha, taking it to ya!",PilotM34,pilot/POAllyGator/PilotM34.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Heh, can't touch me!",PilotM35,pilot/POAllyGator/PilotM35.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Mission.Intro,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Gator here.,PilotM9,pilot/POAllyGator/PilotM9.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Gator.,PilotM10,pilot/POAllyGator/PilotM10.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Gator here.,PilotM9,pilot/POAllyGator/PilotM9.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Gator.,PilotM10,pilot/POAllyGator/PilotM10.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Gator here.,PilotM9,pilot/POAllyGator/PilotM9.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Gator.,PilotM10,pilot/POAllyGator/PilotM10.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack,Shooting from where I stand.,PilotM8,pilot/POAllyGator/PilotM8.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack,Shooting at range.,PilotM29,pilot/POAllyGator/PilotM29.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack,How about a taste of this!,PilotM36,pilot/POAllyGator/PilotM36.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack.Lance,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack.lance,Shooting from where I stand.,PilotM8,pilot/POAllyGator/PilotM8.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack.lance,Shooting at range.,PilotM29,pilot/POAllyGator/PilotM29.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Attack.Lance,How about a taste of this!,PilotM36,pilot/POAllyGator/PilotM36.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Follow,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Follow,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Follow,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Follow.Lance,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Follow.Lance,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping as quick as I can.,PilotM33,pilot/POAllyGator/PilotM33.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Stopping as quick as I can.,PilotM33,pilot/POAllyGator/PilotM33.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Move,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Move,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Move,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Move.Lance,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Move.Lance,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Move.Lance,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Shooting from where I stand.,PilotM8,pilot/POAllyGator/PilotM8.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Weapons_Free,No Problemo.,PilotM0,pilot/POAllyGator/PilotM0.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Weapons_Free,I'm on it!,PilotM1,pilot/POAllyGator/PilotM1.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Weapons_Free,You got it.,PilotM2,pilot/POAllyGator/PilotM2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Shooting at range.,PilotM29,pilot/POAllyGator/PilotM29.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Negative,No can do sir.,PilotM18,pilot/POAllyGator/PilotM18.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Negative.Attack,No can do sir.,PilotM18,pilot/POAllyGator/PilotM18.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Negative.Move,No can do sir.,PilotM18,pilot/POAllyGator/PilotM18.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Command.Negative.Move,I can't get through here.,PilotM25,pilot/POAllyGator/PilotM25.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Died.Pilot,"This is Gator.. Uh oh, Incoming! ... Aaaaaaargh!",PODiedPilot,pilot/POAllyGator/PODiedPilot.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Died.Unit.Critical,This is Gator.. I'm getting shot at! ….  Aaaaaaargh!,PODiedUnitCritical,pilot/POAllyGator/PODiedUnitCritical.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Critical,This is Gator.. I'm getting banged up in here! Ejecting!,POEjectedCritical,pilot/POAllyGator/POEjectedCritical.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Helpless,This is Gator.. They've trashed me sir! Ejecting!,POEjectedHelpless,pilot/POAllyGator/POEjectedHelpless.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Helpless,This is Gator.. I've lost most of my guns! Ejecting!,POEjectedHelpless2,pilot/POAllyGator/POEjectedHelpless2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Helpless,This is Gator.. Damn it! I'm out of weapons! Ejecting!,POEjectedHelpless3,pilot/POAllyGator/POEjectedHelpless3.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Scared,This is Gator.. I'm coming apart! Ejecting!,POEjectedScared,pilot/POAllyGator/POEjectedScared.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Scared,This is Gator.. They're chewing me up! Ejecting!,POEjectedScared2,pilot/POAllyGator/POEjectedScared2.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Ejected.Scared,This is Gator.. They're gunning for me. Ejecting!,POEjectedScared3,pilot/POAllyGator/POEjectedScared3.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Cheer,This is Gator.. Target is trashed.,PilotM26PO,pilot/POAllyGator/PilotM26PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Cheer,This is Gator.. Yes! Watch it burn!,PilotM39PO,pilot/POAllyGator/PilotM39PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Cheer,This is Gator.. Enemy vehicle destroyed!,PilotM40PO,pilot/POAllyGator/PilotM40PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Cheer,"Ha, taking it to ya!",PilotM34,pilot/POAllyGator/PilotM34.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Cheer,"Heh, can't touch me!",PilotM35,pilot/POAllyGator/PilotM35.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gator.. One less Mech'.,PilotM21PO,pilot/POAllyGator/PilotM21PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gator.. Target is trashed.,PilotM26PO,pilot/POAllyGator/PilotM26PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gator.. Enemy Mech' destroyed.,PilotM22PO,pilot/POAllyGator/PilotM22PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gator.. Yes! Watch it burn!,PilotM39PO,pilot/POAllyGator/PilotM39PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Cheer,"Ha, taking it to ya!",PilotM34,pilot/POAllyGator/PilotM34.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Cheer,"Heh, can't touch me!",PilotM35,pilot/POAllyGator/PilotM35.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,This is Gator.. One less Mech'.,PilotM21PO,pilot/POAllyGator/PilotM21PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,This is Gator.. Enemy Mech' destroyed.,PilotM22PO,pilot/POAllyGator/PilotM22PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,This is Gator.. Target is trashed.,PilotM26PO,pilot/POAllyGator/PilotM26PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,This is Gator.. Yes! Watch it burn!,PilotM39PO,pilot/POAllyGator/PilotM39PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,"Ha, taking it to ya!",PilotM34,pilot/POAllyGator/PilotM34.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,"Heh, can't touch me!",PilotM35,pilot/POAllyGator/PilotM35.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy,This is Gator.. I've got contacts over here.,PilotM31PO,pilot/POAllyGator/PilotM31PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy,This is Gator.. Heads up! New contact.,PilotM32PO,pilot/POAllyGator/PilotM32PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy.VTOL,This is Gator.. I've got contacts over here.,PilotM31PO,pilot/POAllyGator/PilotM31PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy.VTOL,This is Gator.. Heads up! New contact.,PilotM32PO,pilot/POAllyGator/PilotM32PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy.Mech,This is Gator.. I've got contacts over here.,PilotM31PO,pilot/POAllyGator/PilotM31PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy.Mech,This is Gator.. Heads up! New contact.,PilotM32PO,pilot/POAllyGator/PilotM32PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy.Vehicle,This is Gator.. I've got contacts over here.,PilotM31PO,pilot/POAllyGator/PilotM31PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.Spot.Enemy.Vehicle,This is Gator.. Heads up! New contact.,PilotM32PO,pilot/POAllyGator/PilotM32PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gator.. I'm coming apart!,PilotM5PO,pilot/POAllyGator/PilotM5PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gator.. They're chewing me up!,PilotM6PO,pilot/POAllyGator/PilotM6PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gator.. I'm getting banged up in here!,PilotM27PO,pilot/POAllyGator/PilotM27PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gator.. They're gunning for me.,PilotM38PO,pilot/POAllyGator/PilotM38PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gator.. I've lost most of my guns!,PilotM41PO,pilot/POAllyGator/PilotM41PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.LArm,This is Gator.. I'm coming apart!,PilotM5PO,pilot/POAllyGator/PilotM5PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.LArm,This is Gator.. They're chewing me up!,PilotM6PO,pilot/POAllyGator/PilotM6PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.LLeg,This is Gator.. I'm down to one good leg.,PilotM20PO,pilot/POAllyGator/PilotM20PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.LTorso,This is Gator.. I'm getting banged up in here!,PilotM27PO,pilot/POAllyGator/PilotM27PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.Rarm,This is Gator.. I'm coming apart!,PilotM5PO,pilot/POAllyGator/PilotM5PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.Rarm,This is Gator.. They're chewing me up!,PilotM6PO,pilot/POAllyGator/PilotM6PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.RLeg,This is Gator.. I'm down to one good leg.,PilotM20PO,pilot/POAllyGator/PilotM20PO.wav,,,,,,,,
Gator_DV,Gator_Persona,DialogueContext.TakeDamage.Destroy.Component.RTorso,This is Gator.. I'm getting banged up in here!,PilotM27PO,pilot/POAllyGator/PilotM27PO.wav,,,,,,,,
