DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Goblin here.,PilotW9,pilot/POAllyGoblin_1/PilotW9.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Goblin.,PilotW10,pilot/POAllyGoblin_1/PilotW10.wav,, ,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Goblin here.,PilotW9,pilot/POAllyGoblin_1/PilotW9.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Goblin.,PilotW10,pilot/POAllyGoblin_1/PilotW10.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Goblin here.,PilotW9,pilot/POAllyGoblin_1/PilotW9.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Goblin.,PilotW10,pilot/POAllyGoblin_1/PilotW10.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotW8,pilot/POAllyGoblin_1/PilotW8.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,Changing attack range.,PilotW29,pilot/POAllyGoblin_1/PilotW29.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,I think I've got it.,PilotW35,pilot/POAllyGoblin_1/PilotW35.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack,Take a shot.,PilotW34,pilot/POAllyGoblin_1/PilotW34.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here.,PilotW8,pilot/POAllyGoblin_1/PilotW8.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing attack range.,PilotW29,pilot/POAllyGoblin_1/PilotW29.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I think I've got it.,PilotW35,pilot/POAllyGoblin_1/PilotW35.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Take a shot.,PilotW34,pilot/POAllyGoblin_1/PilotW34.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Follow,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Follow,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Follow,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping here.,PilotW33,pilot/POAllyGoblin_1/PilotW33.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Stopping here.,PilotW33,pilot/POAllyGoblin_1/PilotW33.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Move,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Move,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Move,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Move.Lance,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Move.Lance,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Move.Lance,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Attacking from here.,PilotW8,pilot/POAllyGoblin_1/PilotW8.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Yes sir.,PilotW0,pilot/POAllyGoblin_1/PilotW0.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Weapons_Free,"Okay, I'm on it.",PilotW1,pilot/POAllyGoblin_1/PilotW1.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Do what I can sir.,PilotW2,pilot/POAllyGoblin_1/PilotW2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Changing attack range.,PilotW29,pilot/POAllyGoblin_1/PilotW29.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Negative,"Sorry, I can't do that.",PilotW18,pilot/POAllyGoblin_1/PilotW18.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Negative.Attack,"Sorry, I can't do that.",PilotW18,pilot/POAllyGoblin_1/PilotW18.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Negative.Move,"Sorry, I can't do that.",PilotW18,pilot/POAllyGoblin_1/PilotW18.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Command.Negative.Move,I can't get there from here.,PilotW25,pilot/POAllyGoblin_1/PilotW25.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Died.Pilot,This is Goblin.. Someone help. Damn it! ... Aaaaaaargh!,PODiedPilot,pilot/POAllyGoblin_1/PODiedPilot.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Died.Unit.Critical,This is Goblin.. They're targeting me. ...  Aaaaaaargh!,PODiedUnitCritical,pilot/POAllyGoblin_1/PODiedUnitCritical.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Critical,"This is Goblin.. Getting creamed, you gotta pull me out! Ejecting!",POEjectedCritical,pilot/POAllyGoblin_1/POEjectedCritical.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Helpless,"This is Goblin.. Get me out, my Mech's dead. Ejecting!",POEjectedHelpless,pilot/POAllyGoblin_1/POEjectedHelpless.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Helpless,This is Goblin.. Almost all my weapons are out! Ejecting!,POEjectedHelpless2,pilot/POAllyGoblin_1/POEjectedHelpless2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Helpless,This is Goblin.. I'm useless my weapons are out! Ejecting!,POEjectedHelpless3,pilot/POAllyGoblin_1/POEjectedHelpless3.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Scared,This is Goblin.. They're taking me apart. Ejecting!,POEjectedScared,pilot/POAllyGoblin_1/POEjectedScared.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Scared,"This is Goblin.. Oh man, I'm taking serious damage! Ejecting!",POEjectedScared2,pilot/POAllyGoblin_1/POEjectedScared2.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Scared,This is Goblin.. They're shooting at me! Ejecting!,POEjectedScared3,pilot/POAllyGoblin_1/POEjectedScared3.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Died.Pilot,Goblin here.. Someone help. Damn it! ... Aaaaaaargh!,PODiedPilotB,pilot/POAllyGoblin_1/PODiedPilotB.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Died.Unit.Critical,Goblin here.. They're targeting me. ...  Aaaaaaargh!,PODiedUnitCriticalB,pilot/POAllyGoblin_1/PODiedUnitCriticalB.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Critical,"Goblin here.. Getting creamed, you gotta pull me out! Ejecting!",POEjectedCriticalB,pilot/POAllyGoblin_1/POEjectedCriticalB.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Helpless,"Goblin here.. Get me out, my Mech's dead. Ejecting!",POEjectedHelplessB,pilot/POAllyGoblin_1/POEjectedHelplessB.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Helpless,Goblin here.. Almost all my weapons are out! Ejecting!,POEjectedHelpless2B,pilot/POAllyGoblin_1/POEjectedHelpless2B.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Helpless,Goblin here.. I'm useless my weapons are out! Ejecting!,POEjectedHelpless3B,pilot/POAllyGoblin_1/POEjectedHelpless3B.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Scared,Goblin here.. They're taking me apart. Ejecting!,POEjectedScaredB,pilot/POAllyGoblin_1/POEjectedScaredB.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Scared,"Goblin here.. Oh man, I'm taking serious damage! Ejecting!",POEjectedScared2B,pilot/POAllyGoblin_1/POEjectedScared2B.wav,,,,,,,,
Goblin_1_DV,Goblin_1_Persona,DialogueContext.Ejected.Scared,Goblin here.. They're shooting at me! Ejecting!,POEjectedScared3B,pilot/POAllyGoblin_1/POEjectedScared3B.wav,,,,,,,,
