DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Show me something special!,PilotF35,pilot/POAllyGunman/PilotF35.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Gunman here. ,PilotF9,pilot/POAllyGunman/PilotF9.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Gunman.,PilotF10,pilot/POAllyGunman/PilotF10.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Gunman here. ,PilotF9,pilot/POAllyGunman/PilotF9.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Gunman.,PilotF10,pilot/POAllyGunman/PilotF10.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Gunman here. ,PilotF9,pilot/POAllyGunman/PilotF9.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Gunman.,PilotF10,pilot/POAllyGunman/PilotF10.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotF8,pilot/POAllyGunman/PilotF8.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,Moving to range.,PilotF29,pilot/POAllyGunman/PilotF29.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,Bet this hurts!,PilotF34,pilot/POAllyGunman/PilotF34.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack,I'm on him.,PilotF15,pilot/POAllyGunman/PilotF15.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here.,PilotF8,pilot/POAllyGunman/PilotF8.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack.lance,Moving to range.,PilotF29,pilot/POAllyGunman/PilotF29.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Bet this hurts!,PilotF34,pilot/POAllyGunman/PilotF34.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow,Show me something special!,PilotF35,pilot/POAllyGunman/PilotF35.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Show me something special!,PilotF35,pilot/POAllyGunman/PilotF35.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I'm stopping.,PilotF33,pilot/POAllyGunman/PilotF33.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I'm stopping.,PilotF33,pilot/POAllyGunman/PilotF33.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move,Ramming speed!,PilotF28,pilot/POAllyGunman/PilotF28.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move.Lance,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move.Lance,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move.Lance,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Move.Lance,Ramming speed!,PilotF28,pilot/POAllyGunman/PilotF28.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,I've got it.,PilotF0,pilot/POAllyGunman/PilotF0.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,You got it sir.,PilotF1,pilot/POAllyGunman/PilotF1.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Yes sir!,PilotF2,pilot/POAllyGunman/PilotF2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Moving to range.,PilotF29,pilot/POAllyGunman/PilotF29.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative,No good sir.,PilotF11PO,pilot/POAllyGunman/PilotF11PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative,"Sorry, I can't do that.",PilotF18,pilot/POAllyGunman/PilotF18.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative.Attack,No good sir.,PilotF11PO,pilot/POAllyGunman/PilotF11PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative.Attack,"Sorry, I can't do that.",PilotF18,pilot/POAllyGunman/PilotF18.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative.Move,No good sir.,PilotF11PO,pilot/POAllyGunman/PilotF11PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative.Move,"Sorry, I can't do that.",PilotF18,pilot/POAllyGunman/PilotF18.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Command.Negative.Move,I can't get through here.,PilotF25,pilot/POAllyGunman/PilotF25.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Died.Pilot,This is Gunman.. Incoming..... Aaaaaaargh!,PODiedPilot,pilot/POAllyGunman/PODiedPilot.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Died.Pilot,This is Gunman.. Get me out of here!..... Aaaaaaargh!,PODiedPilot2,pilot/POAllyGunman/PODiedPilot2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Died.Unit.Critical,This is Gunman.. I'm under attack!….  Aaaaaaargh!,PODiedUnitCritical,pilot/POAllyGunman/PODiedUnitCritical.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Critical,This is Gunman.. I'm done. Get me out of here. Ejecting!,POEjectedCritical,pilot/POAllyGunman/POEjectedCritical.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Helpless,This is Gunman.. My Mech's trashed. Ejecting!,POEjectedHelpless,pilot/POAllyGunman/POEjectedHelpless.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Helpless,This is Gunman.. My weapons are nearly out! Ejecting!,POEjectedHelpless2,pilot/POAllyGunman/POEjectedHelpless2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Helpless,"This is Gunman.. That's it, weapons are out! Ejecting!",POEjectedHelpless3,pilot/POAllyGunman/POEjectedHelpless3.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Scared,This is Gunman.. My armor's coming apart! Ejecting!,POEjectedScared,pilot/POAllyGunman/POEjectedScared.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Scared,This is Gunman.. I'm losing armor! Ejecting!,POEjectedScared2,pilot/POAllyGunman/POEjectedScared2.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Ejected.Scared,This is Gunman.. I'm taking fire!  Ejecting!,POEjectedScared3,pilot/POAllyGunman/POEjectedScared3.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Cheer,That’s me knocking butt head!,PilotF36,pilot/POAllyGunman/PilotF36.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Cheer,This is Gunman.. That will take care of him!,PilotF21PO,pilot/POAllyGunman/PilotF21PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Cheer,This is Gunman.. Target is toast!,PilotF26PO,pilot/POAllyGunman/PilotF26PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Cheer,This is Gunman.. Vehicle trashed!,PilotF39PO,pilot/POAllyGunman/PilotF39PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Cheer,This is Gunman.. Enemy vehicle destroyed!,PilotF40PO,pilot/POAllyGunman/PilotF40PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Cheer,That’s me knocking butt head!,PilotF36,pilot/POAllyGunman/PilotF36.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gunman.. That will take care of him!,PilotF21PO,pilot/POAllyGunman/PilotF21PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gunman.. Target is toast!,PilotF26PO,pilot/POAllyGunman/PilotF26PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Cheer,This is Gunman.. Enemy Mech' destroyed.,PilotF22PO,pilot/POAllyGunman/PilotF22PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,This is Gunman.. That will take care of him!,PilotF21PO,pilot/POAllyGunman/PilotF21PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,This is Gunman.. Target is toast!,PilotF26PO,pilot/POAllyGunman/PilotF26PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,That’s me knocking butt head!,PilotF36,pilot/POAllyGunman/PilotF36.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy,This is Gunman.. I've got a contact.,PilotF31PO,pilot/POAllyGunman/PilotF31PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy,This is Gunman.. My sensors have a contact.,PilotF32PO,pilot/POAllyGunman/PilotF32PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy.VTOL,This is Gunman.. I've got a contact.,PilotF31PO,pilot/POAllyGunman/PilotF31PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy.VTOL,This is Gunman.. My sensors have a contact.,PilotF32PO,pilot/POAllyGunman/PilotF32PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy.Mech,This is Gunman.. I've got a contact.,PilotF31PO,pilot/POAllyGunman/PilotF31PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy.Mech,This is Gunman.. My sensors have a contact.,PilotF32PO,pilot/POAllyGunman/PilotF32PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy.Vehicle,This is Gunman.. I've got a contact.,PilotF31PO,pilot/POAllyGunman/PilotF31PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Spot.Enemy.Vehicle,This is Gunman.. My sensors have a contact.,PilotF32PO,pilot/POAllyGunman/PilotF32PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gunman.. My armor is coming apart!,PilotF5PO,pilot/POAllyGunman/PilotF5PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gunman.. I'm losing armor!,PilotF6PO,pilot/POAllyGunman/PilotF6PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gunman.. Get me out of here!,PilotF27PO,pilot/POAllyGunman/PilotF27PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component,This is Gunman.. My weapons are nearly out!,PilotF41PO,pilot/POAllyGunman/PilotF41PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.LArm,This is Gunman.. My armor is coming apart!,PilotF5PO,pilot/POAllyGunman/PilotF5PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.LArm,This is Gunman.. I'm losing armor!,PilotF6PO,pilot/POAllyGunman/PilotF6PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.LLeg,This is Gunman.. My Mech's crippled!,PilotF20PO,pilot/POAllyGunman/PilotF20PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.LTorso,This is Gunman.. Get me out of here!,PilotF27PO,pilot/POAllyGunman/PilotF27PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.Rarm,This is Gunman.. My armor is coming apart!,PilotF5PO,pilot/POAllyGunman/PilotF5PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.Rarm,This is Gunman.. I'm losing armor!,PilotF6PO,pilot/POAllyGunman/PilotF6PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.RLeg,This is Gunman.. My Mech's crippled!,PilotF20PO,pilot/POAllyGunman/PilotF20PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Destroy.Component.RTorso,This is Gunman.. Get me out of here!,PilotF27PO,pilot/POAllyGunman/PilotF27PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.TakeDamage.Unit.Mech.FriendlyFire.Commander,This is Gunman.. I'm taking fire!,PilotF38PO,pilot/POAllyGunman/PilotF38PO.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Engagement.Started,Attacking from here.,PilotF8,pilot/POAllyGunman/PilotF8.wav,,,,,,,,
Gunman_DV,Gunman_Persona,DialogueContext.Engagement.Started,Moving to range.,PilotF29,pilot/POAllyGunman/PilotF29.wav,,,,,,,,
