DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I love this job!,piloti32,pilot/POAllyHacksaw/piloti32.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This could get ugly.,piloti33,pilot/POAllyHacksaw/piloti33.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,We should get paid by the piece!,piloti31,pilot/POAllyHacksaw/piloti31.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Hey honey, we got a new car!",piloti39,pilot/POAllyHacksaw/piloti39.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Ohh boy!,piloti13,pilot/POAllyHacksaw/piloti13.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,All buffed and shiney boss.,piloti7,pilot/POAllyHacksaw/piloti7.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,All buffed and shiney boss.,piloti7,pilot/POAllyHacksaw/piloti7.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Ohh boy!,piloti13,pilot/POAllyHacksaw/piloti13.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Hacksaw here.,piloti37,pilot/POAllyHacksaw/piloti37.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Hacksaw.,piloti38,pilot/POAllyHacksaw/piloti38.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I love this job!,piloti32,pilot/POAllyHacksaw/piloti32.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative,No sweat.,piloti0,pilot/POAllyHacksaw/piloti0.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative,Roger.,piloti1,pilot/POAllyHacksaw/piloti1.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative,Check.,piloti2,pilot/POAllyHacksaw/piloti2.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,No sweat.,piloti0,pilot/POAllyHacksaw/piloti0.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,Roger.,piloti1,pilot/POAllyHacksaw/piloti1.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,Check.,piloti2,pilot/POAllyHacksaw/piloti2.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,"Okay, I'm taking aim!",piloti3,pilot/POAllyHacksaw/piloti3.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,I love this job!,piloti32,pilot/POAllyHacksaw/piloti32.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,This could get ugly.,piloti33,pilot/POAllyHacksaw/piloti33.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,It's as good as dead.,piloti35,pilot/POAllyHacksaw/piloti35.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack,Locking in target.,piloti36,pilot/POAllyHacksaw/piloti36.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,No sweat.,piloti0,pilot/POAllyHacksaw/piloti0.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger.,piloti1,pilot/POAllyHacksaw/piloti1.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Check.,piloti2,pilot/POAllyHacksaw/piloti2.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Okay, I'm taking aim!",piloti3,pilot/POAllyHacksaw/piloti3.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,It's as good as dead.,piloti35,pilot/POAllyHacksaw/piloti35.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Locking in target.,piloti36,pilot/POAllyHacksaw/piloti36.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I love this job!,piloti32,pilot/POAllyHacksaw/piloti32.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This could get ugly.,piloti33,pilot/POAllyHacksaw/piloti33.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Follow,No sweat.,piloti0,pilot/POAllyHacksaw/piloti0.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Follow,Roger.,piloti1,pilot/POAllyHacksaw/piloti1.wav,,,,,,,,
Hacksaw_DV,Hacksaw_Persona,DialogueContext.Command.Affirmative.Follow,Check.,piloti2,pilot/POAllyHacksaw/piloti2.wav,,,,,,,,
