DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Marked. Bring the pain!,Hail_5,pilot/Hail/Hail_5.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,"Its Narced, rain down hellfire.",Hail_6,pilot/Hail/Hail_6.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,"Narc successful, target pinged.",Hail_7,pilot/Hail/Hail_7.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Locked on with TAG.,Hail_8,pilot/Hail/Hail_8.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,"Target lit with TAG, bring the heat.",Hail_9,pilot/Hail/Hail_9.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Marked with TAG.,Hail_10,pilot/Hail/Hail_10.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Prey lit with TAG,Hail_11,pilot/Hail/Hail_11.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Scorching that narc'd target.,Hail_12,pilot/Hail/Hail_12.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Narced target is mine.,Hail_13,pilot/Hail/Hail_13.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Raining down hellfire on narc'd target.,Hail_14,pilot/Hail/Hail_14.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Closing on Narc'd prey.,Hail_15,pilot/Hail/Hail_15.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Shredding that lit target!,Hail_16,pilot/Hail/Hail_16.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Engaging lit target.,Hail_17,pilot/Hail/Hail_17.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Unloading on lased target.,Hail_18,pilot/Hail/Hail_18.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,"TAG observed, prey engaged.",Hail_19,pilot/Hail/Hail_19.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Cold, and cool. I'll take it over cooking!",Hail_20,pilot/Hail/Hail_20.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Finally, a break from the heat.",Hail_21,pilot/Hail/Hail_21.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,This… is a great place for alpha strikes.,Hail_22,pilot/Hail/Hail_22.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Looks like I can put the cap back on the override button.,Hail_23,pilot/Hail/Hail_23.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"Living here, hell no? Fighting here, sounds grand.",Hail_24,pilot/Hail/Hail_24.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"Looks slick, check your footing.",Hail_25,pilot/Hail/Hail_25.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"I'll take ice and snow, over a shutdown mech any day of the week.",Hail_26,pilot/Hail/Hail_26.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"This place is a dump, but at least we can let loose.",Hail_27,pilot/Hail/Hail_27.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,Frack. This place sucks.,Hail_28,pilot/Hail/Hail_28.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Commander, why are we here in this crappy place?",Hail_29,pilot/Hail/Hail_29.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Only thing to look forward to here, is the combat.",Hail_30,pilot/Hail/Hail_30.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Blake's Blood, this place is a dump.",Hail_31,pilot/Hail/Hail_31.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,Life can survive in the strangest places.,Hail_32,pilot/Hail/Hail_32.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,These canyons remind me of the blood pits…,Hail_33,pilot/Hail/Hail_33.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,Eyes open for ambushes.,Hail_34,pilot/Hail/Hail_34.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,Watch those ridges…,Hail_35,pilot/Hail/Hail_35.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike,What is this place… it feels….,Hail_36,pilot/Hail/Hail_36.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,Now this brings me back to Galatea.,Hail_37,pilot/Hail/Hail_37.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest,Never seen so much kindling in one place…,Hail_38,pilot/Hail/Hail_38.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest,Good place for a hunt.,Hail_39,pilot/Hail/Hail_39.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest,Let's light this place on fire.,Hail_40,pilot/Hail/Hail_40.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest,We don't pay out for all these trees I am about to crisp… right?,Hail_41,pilot/Hail/Hail_41.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,This place is about to get a whole lot redder.,Hail_42,pilot/Hail/Hail_42.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"Keep your eyes on the trees, easy to hide in there.",Hail_43,pilot/Hail/Hail_43.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"Its not so bad here, is it?",Hail_44,pilot/Hail/Hail_44.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"Focus on the mission, the view won't be here for long anyhow.",Hail_45,pilot/Hail/Hail_45.wav,,,,,,,,
Hail_DV,Hail_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,"Ya know, I wouldn't mind taking a break for once.",Hail_46,pilot/Hail/Hail_46.wav,,,,,,,,
