DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Make your peace.,PilotB34,pilot/POAllyHawk/PilotB34.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Hawk.,PilotB9,pilot/POAllyHawk/PilotB9.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Hawk reporting.,PilotB10,pilot/POAllyHawk/PilotB10.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Hawk.,PilotB9,pilot/POAllyHawk/PilotB9.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Hawk reporting.,PilotB10,pilot/POAllyHawk/PilotB10.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Hawk.,PilotB9,pilot/POAllyHawk/PilotB9.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Hawk reporting.,PilotB10,pilot/POAllyHawk/PilotB10.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.Command.Affirmative,Order Acknowledged.,PilotB0,pilot/POAllyHawk/PilotB0.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.Command.Affirmative.Attack,Order Acknowledged.,PilotB0,pilot/POAllyHawk/PilotB0.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.Command.Affirmative.Attack,"As ordered, sir.",PilotB1,pilot/POAllyHawk/PilotB1.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir!,PilotB2,pilot/POAllyHawk/PilotB2.wav,,,,,,,,
Hawk_DV,Hawk_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotB8,pilot/POAllyHawk/PilotB8.wav,,,,,,,,
