DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This hound has a fox.,PilotQ34,pilot/POAllyHitman/PilotQ34.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm swinging for the fences!,PilotQ35,pilot/POAllyHitman/PilotQ35.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Hitman here.,PilotQ9,pilot/POAllyHitman/PilotQ9.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Hitman.,PilotQ10,pilot/POAllyHitman/PilotQ10.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Hitman here.,PilotQ9,pilot/POAllyHitman/PilotQ9.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Hitman.,PilotQ10,pilot/POAllyHitman/PilotQ10.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Hitman here.,PilotQ9,pilot/POAllyHitman/PilotQ9.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Hitman.,PilotQ10,pilot/POAllyHitman/PilotQ10.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from where I stand.,PilotQ8,pilot/POAllyHitman/PilotQ8.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,Changing attack range.,PilotQ29,pilot/POAllyHitman/PilotQ29.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,Bankshot coming up.,PilotQ36,pilot/POAllyHitman/PilotQ36.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,I'm swinging for the fences!,PilotQ35,pilot/POAllyHitman/PilotQ35.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack,This hound has a fox.,PilotQ34,pilot/POAllyHitman/PilotQ34.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from where I stand.,PilotQ8,pilot/POAllyHitman/PilotQ8.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing attack range.,PilotQ29,pilot/POAllyHitman/PilotQ29.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Bankshot coming up.,PilotQ36,pilot/POAllyHitman/PilotQ36.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm swinging for the fences!,PilotQ35,pilot/POAllyHitman/PilotQ35.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This hound has a fox.,PilotQ34,pilot/POAllyHitman/PilotQ34.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Follow,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Follow,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Follow,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Full stop sir.,PilotQ33,pilot/POAllyHitman/PilotQ33.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Full stop sir.,PilotQ33,pilot/POAllyHitman/PilotQ33.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Move,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Move,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Move,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Move.Lance,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Move.Lance,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Move.Lance,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Attacking from where I stand.,PilotQ8,pilot/POAllyHitman/PilotQ8.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Easily done sir.,PilotQ0,pilot/POAllyHitman/PilotQ0.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Piece of cake.,PilotQ1,pilot/POAllyHitman/PilotQ1.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Dead on sir!,PilotQ2,pilot/POAllyHitman/PilotQ2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Changing attack range.,PilotQ29,pilot/POAllyHitman/PilotQ29.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Negative,"Sorry, I can't do that.",PilotQ18,pilot/POAllyHitman/PilotQ18.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Negative.Attack,"Sorry, I can't do that.",PilotQ18,pilot/POAllyHitman/PilotQ18.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Negative.Move,"Sorry, I can't do that.",PilotQ18,pilot/POAllyHitman/PilotQ18.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Command.Negative.Move,I can't get through this way sir!,PilotQ25,pilot/POAllyHitman/PilotQ25.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Died.Pilot,"This is Hitman.. Damn it, hailstorm! ... Aaaaaaargh!",PODiedPilot,pilot/POAllyHitman/PODiedPilot.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Died.Unit.Critical,This is Hitman.. It's raining bullets over here ...  Aaaaaaargh!,PODiedUnitCritical,pilot/POAllyHitman/PODiedUnitCritical.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Critical,This is Hitman.. Sir I'm seeing stars! Ejecting!,POEjectedCritical,pilot/POAllyHitman/POEjectedCritical.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Helpless,"This is Hitman.. That's it, I'm scrap metal! Ejecting!",POEjectedHelpless,pilot/POAllyHitman/POEjectedHelpless.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Helpless,This is Hitman.. I've barely got any weapons left! Ejecting!,POEjectedHelpless2,pilot/POAllyHitman/POEjectedHelpless2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Helpless,"This is Hitman.. Count me out, that was my last weapon! Ejecting!",POEjectedHelpless3,pilot/POAllyHitman/POEjectedHelpless3.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Scared,This is Hitman.. My armor is like paper! Ejecting!,POEjectedScared,pilot/POAllyHitman/POEjectedScared.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Scared,This is Hitman.. I don't think I have armor left. Ejecting!,POEjectedScared2,pilot/POAllyHitman/POEjectedScared2.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.Ejected.Scared,This is Hitman.. They've got my number! Ejecting!,POEjectedScared4,pilot/POAllyHitman/POEjectedScared4.wav,,,,,,,,
Hitman_DV,Hitman_Persona,DialogueContext.KillBlow.Cheer,This is Hitman.. Target terminated!,PilotQ26PO,pilot/POAllyHitman/PilotQ26PO.wav,,,,,,,,
