DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Let's get this over with!,PilotE34,pilot/POAllyIsis/PilotE34.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Isis here.,PilotE9,pilot/POAllyIsis/PilotE9.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Isis.,PilotE10,pilot/POAllyIsis/PilotE10.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Isis here.,PilotE9,pilot/POAllyIsis/PilotE9.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Isis.,PilotE10,pilot/POAllyIsis/PilotE10.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Isis here.,PilotE9,pilot/POAllyIsis/PilotE9.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Isis.,PilotE10,pilot/POAllyIsis/PilotE10.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative,Leave it to me sir!,PilotE0,pilot/POAllyIsis/PilotE0.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative,Let's get this over with!,PilotE34,pilot/POAllyIsis/PilotE34.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,Leave it to me sir!,PilotE0,pilot/POAllyIsis/PilotE0.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,I'm on it!,PilotE1,pilot/POAllyIsis/PilotE1.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,"Yes, sir!",PilotE2,pilot/POAllyIsis/PilotE2.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here!,PilotE8,pilot/POAllyIsis/PilotE28.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,Changing combat range.,PilotE29,pilot/POAllyIsis/PilotE29.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,Let's get this over with!,PilotE34,pilot/POAllyIsis/PilotE34.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,Taking the shot!,PilotE35,pilot/POAllyIsis/PilotE35.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack,One more second!,PilotE36,pilot/POAllyIsis/PilotE36.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Leave it to me sir!,PilotE0,pilot/POAllyIsis/PilotE0.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm on it!,PilotE1,pilot/POAllyIsis/PilotE1.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Yes, sir!",PilotE2,pilot/POAllyIsis/PilotE2.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here!,PilotE8,pilot/POAllyIsis/PilotE28.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing combat range.,PilotE29,pilot/POAllyIsis/PilotE29.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Let's get this over with!,PilotE34,pilot/POAllyIsis/PilotE34.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Taking the shot!,PilotE35,pilot/POAllyIsis/PilotE35.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,One more second!,PilotE36,pilot/POAllyIsis/PilotE36.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow,Leave it to me sir!,PilotE0,pilot/POAllyIsis/PilotE0.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow,I'm on it!,PilotE1,pilot/POAllyIsis/PilotE1.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow,"Yes, sir!",PilotE2,pilot/POAllyIsis/PilotE2.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow,Let's get this over with!,PilotE34,pilot/POAllyIsis/PilotE34.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Leave it to me sir!,PilotE0,pilot/POAllyIsis/PilotE0.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I'm on it!,PilotE1,pilot/POAllyIsis/PilotE1.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Yes, sir!",PilotE2,pilot/POAllyIsis/PilotE2.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Let's get this over with!,PilotE34,pilot/POAllyIsis/PilotE34.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Leave it to me sir!,PilotE0,pilot/POAllyIsis/PilotE0.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I'm on it!,PilotE1,pilot/POAllyIsis/PilotE1.wav,,,,,,,,
Isis_DV,Isis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping here.,PilotE33,pilot/POAllyIsis/PilotE33.wav,,,,,,,,
