DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Ready to roll sir!,pilotk7,pilot/POAllyJinx/pilotk7.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,It's Jinx,pilotk37,pilot/POAllyJinx/pilotk37.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Jinx.,pilotk38,pilot/POAllyJinx/pilotk38.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Watch this!,pilotk31,pilot/POAllyJinx/pilotk31.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Ready to roll sir!,pilotk7,pilot/POAllyJinx/pilotk7.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,It's Jinx,pilotk37,pilot/POAllyJinx/pilotk37.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Jinx.,pilotk38,pilot/POAllyJinx/pilotk38.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative,Roger.,pilotk0,pilot/POAllyJinx/pilotk0.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative,Understood.,pilotk1,pilot/POAllyJinx/pilotk1.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative,Yes sir!,pilotk2,pilot/POAllyJinx/pilotk2.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,Roger.,pilotk0,pilot/POAllyJinx/pilotk0.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,Understood.,pilotk1,pilot/POAllyJinx/pilotk1.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir!,pilotk2,pilot/POAllyJinx/pilotk2.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,Sounds tricky.,pilotk3,pilot/POAllyJinx/pilotk3.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,Targeting.,pilotk35,pilot/POAllyJinx/pilotk35.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,Roger that. Target confirmed.,pilotk36,pilot/POAllyJinx/pilotk36.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack,This is for you!,pilotk33,pilot/POAllyJinx/pilotk33.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger.,pilotk0,pilot/POAllyJinx/pilotk0.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Understood.,pilotk1,pilot/POAllyJinx/pilotk1.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir!,pilotk2,pilot/POAllyJinx/pilotk2.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Sounds tricky.,pilotk3,pilot/POAllyJinx/pilotk3.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Targeting.,pilotk35,pilot/POAllyJinx/pilotk35.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that. Target confirmed.,pilotk36,pilot/POAllyJinx/pilotk36.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This is for you!,pilotk33,pilot/POAllyJinx/pilotk33.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Follow,Roger.,pilotk0,pilot/POAllyJinx/pilotk0.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Follow,Understood.,pilotk1,pilot/POAllyJinx/pilotk1.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Follow,Yes sir!,pilotk2,pilot/POAllyJinx/pilotk2.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Roger.,pilotk0,pilot/POAllyJinx/pilotk0.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Understood.,pilotk1,pilot/POAllyJinx/pilotk1.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Yes sir!,pilotk2,pilot/POAllyJinx/pilotk2.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Roger.,pilotk0,pilot/POAllyJinx/pilotk0.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Understood.,pilotk1,pilot/POAllyJinx/pilotk1.wav,,,,,,,,
Jinx_DV,Jinx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Yes sir!,pilotk2,pilot/POAllyJinx/pilotk2.wav,,,,,,,,
