DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Kelpie_DV,Kelpie_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc deployed on target!,MarkedTargetWithNarc,pilot/Kelpie/MarkedTargetWithNarc.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,"Eye, lasing the bugger with Tag.",MarkedTargetWithTag,pilot/Kelpie/MarkedTargetWithTag.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,"Ay, throwing rocks at the Narc.",FiringAtTargetMarkedWithNarc,pilot/Kelpie/FiringAtTargetMarkedWithNarc.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Disco Pig Noted. Let's light the bugger up.,FiringAtTargetMarkedWithTag,pilot/Kelpie/FiringAtTargetMarkedWithTag.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Damnit man. I got up north to get away from the cold. ,BiomeArctic,pilot/Kelpie/BiomeArctic.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,Damnit man. I got up north to get away from the cold. ,BiomeArctic,pilot/Kelpie/BiomeArctic.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Oh, love what they're doing with the place. Especially all the… sand.",BiomeCanyon,pilot/Kelpie/BiomeCanyon.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,"Ah, if I'd of known we were going out to the woods I'd have packed a picknic.",BiomeForest,pilot/Kelpie/BiomeForest.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike,"Ah, if I'd of known we were going out to the woods I'd have packed a picknic.",BiomeForest,pilot/Kelpie/BiomeForest.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,"Oh, love what they're doing with the place. Especially all the… sand.",BiomeCanyon,pilot/Kelpie/BiomeCanyon.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Forest,"Ah, if I'd of known we were going out to the woods I'd have packed a picknic.",BiomeForest,pilot/Kelpie/BiomeForest.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,"Ah, if I'd of known we were going out to the woods I'd have packed a picknic.",BiomeForest,pilot/Kelpie/BiomeForest.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Winter,Damnit man. I got up north to get away from the cold. ,BiomeArctic,pilot/Kelpie/BiomeArctic.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Hostile,"Uh, what a hellhole. Kinda reminds me of home.",BiomeHostile,pilot/Kelpie/BiomeHostile.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Hostile.Moon,Well this place ticks all the boxes on creepy bingo donn'it?,HostileMoon,pilot/Kelpie/HostileMoon.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Hostile.Sulfurous,Nothin like a nice warm bath ta melt ya face off.,HostileSulfurous,pilot/Kelpie/HostileSulfurous.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Biome.Hostile.Volcanic,"Ugh, lava. That's… that's what I wanted ta see today.",HostileVolcanic,pilot/Kelpie/HostileVolcanic.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Ay sir. Ready to drop.,MissionIntro,pilot/Kelpie/MissionIntro.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Kelpie reporting for duty, sir.",PilotAnnoucement,pilot/Kelpie/PilotAnnoucement.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Kelpie here, what can I do for you?",PilotAnnoucement2,pilot/Kelpie/PilotAnnoucement2.wav,,,,,,,,
Kelpie_DV,Kelpie_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Kelpie standing by.,PilotAnnoucement3,pilot/Kelpie/PilotAnnoucement3.wav,,,,,,,,
