DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Longshot_DV,Longshot_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Longshot here.,pilotl37,pilot/POAllyLongshot/pilotl37.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Longshot.,pilotl38,pilot/POAllyLongshot/pilotl38.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Good to go.,pilotl7,pilot/POAllyLongshot/pilotl7.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Good to go.,pilotl7,pilot/POAllyLongshot/pilotl7.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Longshot here.,pilotl37,pilot/POAllyLongshot/pilotl37.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Longshot.,pilotl38,pilot/POAllyLongshot/pilotl38.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative,Roger.,pilotl0,pilot/POAllyLongshot/pilotl0.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative,Okay sir.,pilotl1,pilot/POAllyLongshot/pilotl1.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative,I copy.,pilotl2,pilot/POAllyLongshot/pilotl2.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative,I'll try!,pilotl3,pilot/POAllyLongshot/pilotl3.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,Roger.,pilotl0,pilot/POAllyLongshot/pilotl0.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,Okay sir.,pilotl1,pilot/POAllyLongshot/pilotl1.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,I copy.,pilotl2,pilot/POAllyLongshot/pilotl2.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,I'll try!,pilotl3,pilot/POAllyLongshot/pilotl3.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,Hold still!,pilotl32,pilot/POAllyLongshot/pilotl32.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,Copy target.,pilotl35,pilot/POAllyLongshot/pilotl35.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,Target locked in!,pilotl36,pilot/POAllyLongshot/pilotl36.wav,,,,,,,,
Longshot_DV,Longshot_Persona,DialogueContext.Command.Affirmative.Attack,You're gonna feel this one!,pilotl31,pilot/POAllyLongshot/pilotl31.wav,,,,,,,,
