DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Who wants some of this?,PilotP34,pilot/POAllyLynx/PilotP34.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Lynx here.,PilotP9,pilot/POAllyLynx/PilotP9.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Lynx.,PilotP10,pilot/POAllyLynx/PilotP10.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Lynx here.,PilotP9,pilot/POAllyLynx/PilotP9.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Lynx.,PilotP10,pilot/POAllyLynx/PilotP10.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Lynx here.,PilotP9,pilot/POAllyLynx/PilotP9.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Lynx.,PilotP10,pilot/POAllyLynx/PilotP10.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotP8,pilot/POAllyLynx/PilotP8.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,Changing range.,PilotP29,pilot/POAllyLynx/PilotP29.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,Eat this!,PilotP36,pilot/POAllyLynx/PilotP36.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,This is going right where it hurts!,PilotP35,pilot/POAllyLynx/PilotP35.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack,Who wants some of this?,PilotP34,pilot/POAllyLynx/PilotP34.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here.,PilotP8,pilot/POAllyLynx/PilotP8.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing range.,PilotP29,pilot/POAllyLynx/PilotP29.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Eat this!,PilotP36,pilot/POAllyLynx/PilotP36.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This is going right where it hurts!,PilotP35,pilot/POAllyLynx/PilotP35.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Who wants some of this?,PilotP34,pilot/POAllyLynx/PilotP34.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Follow,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Follow,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Follow,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Follow.Lance,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping here.,PilotP33,pilot/POAllyLynx/PilotP33.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Stopping here.,PilotP33,pilot/POAllyLynx/PilotP33.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Move,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Move,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Move,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Move.Lance,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Move.Lance,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Move.Lance,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Attacking from here.,PilotP8,pilot/POAllyLynx/PilotP8.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Weapons_Free,No problem sir.,PilotP0,pilot/POAllyLynx/PilotP0.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Consider it done!,PilotP1,pilot/POAllyLynx/PilotP1.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Yes sir!,PilotP2,pilot/POAllyLynx/PilotP2.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Changing range.,PilotP29,pilot/POAllyLynx/PilotP29.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Negative,"Sorry, I can't do that.",PilotP18,pilot/POAllyLynx/PilotP18.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Negative,No good sir.,PilotP11PO,pilot/POAllyLynx/PilotP11PO.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Negative.Attack,"Sorry, I can't do that.",PilotP18,pilot/POAllyLynx/PilotP18.wav,,,,,,,,
Lynx_DV,Lynx_Persona,DialogueContext.Command.Negative.Attack,No good sir.,PilotP11PO,pilot/POAllyLynx/PilotP11PO.wav,,,,,,,,
