DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,My blades feel sharp today.,PilotX36,pilot/POAllyMantis/PilotX36.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I will make this quick.,PilotX34,pilot/POAllyMantis/PilotX34.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Mantis reporting.,PilotX9,pilot/POAllyMantis/PilotX9.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Mantis.,PilotX10,pilot/POAllyMantis/PilotX10.wav,, ,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,So be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Mantis reporting.,PilotX9,pilot/POAllyMantis/PilotX9.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Mantis.,PilotX10,pilot/POAllyMantis/PilotX10.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Mantis reporting.,PilotX9,pilot/POAllyMantis/PilotX9.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Mantis.,PilotX10,pilot/POAllyMantis/PilotX10.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative,So be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative,As ordered sir.,PilotX2,pilot/POAllyMantis/PilotX2.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,so be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,As ordered sir.,PilotX2,pilot/POAllyMantis/PilotX2.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,Firing from position.,PilotX8,pilot/POAllyMantis/PilotX8.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,Changing attack range.,PilotX29,pilot/POAllyMantis/PilotX29.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,My blades feel sharp today.,PilotX36,pilot/POAllyMantis/PilotX36.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,I am engaging.,PilotX35,pilot/POAllyMantis/PilotX35.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack,I will make this quick.,PilotX34,pilot/POAllyMantis/PilotX34.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,so be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,As ordered sir.,PilotX2,pilot/POAllyMantis/PilotX2.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.lance,Firing from position.,PilotX8,pilot/POAllyMantis/PilotX8.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing attack range.,PilotX29,pilot/POAllyMantis/PilotX29.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,My blades feel sharp today.,PilotX36,pilot/POAllyMantis/PilotX36.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I am engaging.,PilotX35,pilot/POAllyMantis/PilotX35.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I will make this quick.,PilotX34,pilot/POAllyMantis/PilotX34.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Follow,So be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Follow,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Follow,As ordered sir.,PilotX2,pilot/POAllyMantis/PilotX2.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,So be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Follow.Lance,As ordered sir.,PilotX2,pilot/POAllyMantis/PilotX2.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,So be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I am stopping.,PilotX33,pilot/POAllyMantis/PilotX33.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Hold_Fire,As ordered sir.,PilotX2,pilot/POAllyMantis/PilotX2.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,So be it.,PilotX0,pilot/POAllyMantis/PilotX0.wav,,,,,,,,
Mantis_DV,Mantis_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I understand.,PilotX1,pilot/POAllyMantis/PilotX1.wav,,,,,,,,
