DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Someone is looking for trouble!,pilotm32,pilot/POAllyMeat/pilotm32.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Ha ha, welcome to the neighborhood.",pilotm33,pilot/POAllyMeat/pilotm33.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Mission.Intro,It's Meat.,pilotm37,pilot/POAllyMeat/pilotm37.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Meat.,pilotm38,pilot/POAllyMeat/pilotm38.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Mission.Intro,No problem boss.,pilotm1,pilot/POAllyMeat/pilotm1.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,"Ha ha, welcome to the neighborhood.",pilotm33,pilot/POAllyMeat/pilotm33.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,It's Meat.,pilotm37,pilot/POAllyMeat/pilotm37.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Meat.,pilotm38,pilot/POAllyMeat/pilotm38.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative,Roger that.,pilotm0,pilot/POAllyMeat/pilotm0.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative,No problem boss.,pilotm1,pilot/POAllyMeat/pilotm1.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative,I'm on him.,pilotm2,pilot/POAllyMeat/pilotm2.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,Roger that.,pilotm0,pilot/POAllyMeat/pilotm0.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,No problem boss.,pilotm1,pilot/POAllyMeat/pilotm1.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,I'm on him.,pilotm2,pilot/POAllyMeat/pilotm2.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,"No problem, check this out!",pilotm3,pilot/POAllyMeat/pilotm3.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,I got him!,pilotm35,pilot/POAllyMeat/pilotm35.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,Target confirmed and locked in!,pilotm36,pilot/POAllyMeat/pilotm36.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack,Here you go tough guy!,pilotm31,pilot/POAllyMeat/pilotm31.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that.,pilotm0,pilot/POAllyMeat/pilotm0.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack.Lance,No problem boss.,pilotm1,pilot/POAllyMeat/pilotm1.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm on him.,pilotm2,pilot/POAllyMeat/pilotm2.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"No problem, check this out!",pilotm3,pilot/POAllyMeat/pilotm3.wav,,,,,,,,
Meat_DV,Meat_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I got him!,pilotm35,pilot/POAllyMeat/pilotm35.wav,,,,,,,,
