DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Mist.,2,pilot/Mist/2.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Mist.,2b,pilot/Mist/2b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Mist here.,3,pilot/Mist/3.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Mech Magic time,210c,pilot/Mist/210c.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Mist.,2,pilot/Mist/2.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Mist.,2b,pilot/Mist/2b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Mist here.,3,pilot/Mist/3.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"A bonnie day today, eh?",52,pilot/Mist/52.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Bleeper on the target.,7,pilot/Mist/7.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc bleeper deployed.,8,pilot/Mist/8.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc bleeper deployed.,8b,pilot/Mist/8b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithNarc,Narc bleeper deployed.,8c,pilot/Mist/8c.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Painting it with a TAG.,9b,pilot/Mist/9b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Lasing the target.,10b,pilot/Mist/10b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Target lit.,11b,pilot/Mist/11b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Status.MarkedTargetWithTag,Tag!,12b,pilot/Mist/12b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Firing on the bleeper.,13b,pilot/Mist/13b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Attacking the narc'y one!,14b,pilot/Mist/14b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Missiles on the bleeper tango.,15b,pilot/Mist/15b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Firing on marked target.,17b,pilot/Mist/17b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Firing to TAG.,18b,pilot/Mist/18b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Firing on lit tango.,19b,pilot/Mist/19b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Ohh, the snow's where to be, in the Highlands for the free.",21b,pilot/Mist/21b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Ohh, the snow's where to be, in the Highlands for the free.",21c,pilot/Mist/21c.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Through the sleet and the snow, out a wandering I will go.",22b,pilot/Mist/22b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Through the sleet and the snow, out a wandering I will go.",22c,pilot/Mist/22c.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"When we get back, the mulled wine's on me. That'll warm the cockels of your heart.",25,pilot/Mist/25.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,"When we get back, the mulled wine's on me. That'll warm the cockels of your heart.",25b,pilot/Mist/25b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,That Ryanna would like it down here - she likes us all frosty!,26b,pilot/Mist/26b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Ohh, this place is a dry as my lips. Who's taken my special libations? ",29b,pilot/Mist/29b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"If ever a place need a loch, it's this. And you kin I dinna mean a missile lock. Dinna start me!",30b,pilot/Mist/30b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,"I suppose some must like the Lowlands. We can't all be cultured now, can we?",33,pilot/Mist/33.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike,Oh'tis pretty as a picture.,37,pilot/Mist/37.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,Why do I dream of the lovely cold nipping at my lovely toes?,38b,pilot/Mist/38b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,Why do I dream of the lovely cold nipping at my lovely toes?,38c,pilot/Mist/38c.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest,"A scattering of snow and this would be bonnie, don't you agree?",39c,pilot/Mist/39c.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"If we sell your mech, we could wait here till the good weather show's up.",43b,pilot/Mist/43b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,Just a little longer and 'twill be lovely,44b,pilot/Mist/44b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,Such a loss. You brought us here in the wrong season! How can you be so far out?,47,pilot/Mist/47.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,Shouldn't be here at this time of the year.,48b,pilot/Mist/48b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Winter,We should just stay here for a while instead of mosey'ing on to the next place.,51b,pilot/Mist/51b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Winter,"A bonnie day today, eh?",52,pilot/Mist/52.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Hostile,This here is almost as unpleasant as the OR club. ,55b,pilot/Mist/55b.wav,,,,,,,,
Mist_DV,Mist_Persona,DialogueContext.CharacterDialogue.Biome.Hostile,No flowers here I see,56b,pilot/Mist/56b.wav,,,,,,,,
