DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Mistyque_DV,Mistyque_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Mistyque here. ,PilotG9,pilot/POAllyMistyque/PilotG9.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Mistyque.,PilotG10,pilot/POAllyMistyque/PilotG10.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Mistyque here. ,PilotG9,pilot/POAllyMistyque/PilotG9.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Mistyque.,PilotG10,pilot/POAllyMistyque/PilotG10.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Mistyque here. ,PilotG9,pilot/POAllyMistyque/PilotG9.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Mistyque.,PilotG10,pilot/POAllyMistyque/PilotG10.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative,As ordered.,PilotG19PO,pilot/POAllyMistyque/PilotG19PO.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative,I'll take care of it.,PilotG0,pilot/POAllyMistyque/PilotG0.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,As ordered.,PilotG19PO,pilot/POAllyMistyque/PilotG19PO.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,I'll take care of it.,PilotG0,pilot/POAllyMistyque/PilotG0.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir.,PilotG1,pilot/POAllyMistyque/PilotG1.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,I've got it.,PilotG2,pilot/POAllyMistyque/PilotG2.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotG8,pilot/POAllyMistyque/PilotG8.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,Moving to range.,PilotG29,pilot/POAllyMistyque/PilotG29.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,Taking the shot!,PilotG34,pilot/POAllyMistyque/PilotG34.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,This should hurt!,PilotG36,pilot/POAllyMistyque/PilotG36.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack,One second more!,PilotG35,pilot/POAllyMistyque/PilotG35.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.Lance,As ordered.,PilotG19PO,pilot/POAllyMistyque/PilotG19PO.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'll take care of it.,PilotG0,pilot/POAllyMistyque/PilotG0.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir.,PilotG1,pilot/POAllyMistyque/PilotG1.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I've got it.,PilotG2,pilot/POAllyMistyque/PilotG2.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here.,PilotG8,pilot/POAllyMistyque/PilotG8.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.lance,Moving to range.,PilotG29,pilot/POAllyMistyque/PilotG29.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.lance,Taking the shot!,PilotG34,pilot/POAllyMistyque/PilotG34.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This should hurt!,PilotG36,pilot/POAllyMistyque/PilotG36.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Attack.Lance,One second more!,PilotG35,pilot/POAllyMistyque/PilotG35.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Follow,As ordered.,PilotG19PO,pilot/POAllyMistyque/PilotG19PO.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Follow,I'll take care of it.,PilotG0,pilot/POAllyMistyque/PilotG0.wav,,,,,,,,
Mistyque_DV,Mistyque_Persona,DialogueContext.Command.Affirmative.Follow,Yes sir.,PilotG1,pilot/POAllyMistyque/PilotG1.wav,,,,,,,,
