DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Nuke_DV,Nuke_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I relish the fight!,piloto33,pilot/POAllyNuke/piloto33.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Sir, this is Nuke.",piloto37,pilot/POAllyNuke/piloto37.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Nuke reporting.,piloto38,pilot/POAllyNuke/piloto38.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I relish the fight!,piloto33,pilot/POAllyNuke/piloto33.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Sir, this is Nuke.",piloto37,pilot/POAllyNuke/piloto37.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Nuke reporting.,piloto38,pilot/POAllyNuke/piloto38.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative,"Yes, my commander.",piloto0,pilot/POAllyNuke/piloto0.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative,Aff.,piloto1,pilot/POAllyNuke/piloto1.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative,Roger.,piloto2,pilot/POAllyNuke/piloto2.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative,I am up to the task.,piloto3,pilot/POAllyNuke/piloto3.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,"Yes, my commander.",piloto0,pilot/POAllyNuke/piloto0.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,Aff.,piloto1,pilot/POAllyNuke/piloto1.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,Roger.,piloto2,pilot/POAllyNuke/piloto2.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,I am up to the task.,piloto3,pilot/POAllyNuke/piloto3.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,Freebirth!,piloto32,pilot/POAllyNuke/piloto32.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,Targeting.,piloto35,pilot/POAllyNuke/piloto35.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack,Target is confirmed!,piloto36,pilot/POAllyNuke/piloto36.wav,,,,,,,,
Nuke_DV,Nuke_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Yes, my commander.",piloto0,pilot/POAllyNuke/piloto0.wav,,,,,,,,
