DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Let's see how this baby flies!,PilotT15,pilot/POAllyOutlaw/PilotT15.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Outlaw here.,PilotT9,pilot/POAllyOutlaw/PilotT9.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Outlaw.,PilotT10,pilot/POAllyOutlaw/PilotT10.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Outlaw here.,PilotT9,pilot/POAllyOutlaw/PilotT9.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Outlaw.,PilotT10,pilot/POAllyOutlaw/PilotT10.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Outlaw here.,PilotT9,pilot/POAllyOutlaw/PilotT9.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Outlaw.,PilotT10,pilot/POAllyOutlaw/PilotT10.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,Firing from position.,PilotT8,pilot/POAllyOutlaw/PilotT8.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,I'm changing range.,PilotT29,pilot/POAllyOutlaw/PilotT29.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,Another one for the kill board.,PilotT36,pilot/POAllyOutlaw/PilotT36.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,Thanks for holding still.,PilotT35,pilot/POAllyOutlaw/PilotT35.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack,Let's see how much you can take.,PilotT34,pilot/POAllyOutlaw/PilotT34.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.lance,Firing from position.,PilotT8,pilot/POAllyOutlaw/PilotT8.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.lance,I'm changing range.,PilotT29,pilot/POAllyOutlaw/PilotT29.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Another one for the kill board.,PilotT36,pilot/POAllyOutlaw/PilotT36.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Thanks for holding still.,PilotT35,pilot/POAllyOutlaw/PilotT35.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Let's see how much you can take.,PilotT34,pilot/POAllyOutlaw/PilotT34.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Follow,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Follow,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Follow,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Follow.Lance,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping as ordered.,PilotT33,pilot/POAllyOutlaw/PilotT33.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Stopping as ordered.,PilotT33,pilot/POAllyOutlaw/PilotT33.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Move,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Move,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Move,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Move.Lance,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Move.Lance,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Move.Lance,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Firing from position.,PilotT8,pilot/POAllyOutlaw/PilotT8.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Yes sir!,PilotT0,pilot/POAllyOutlaw/PilotT0.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Count on me sir.,PilotT1,pilot/POAllyOutlaw/PilotT1.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Weapons_Free,You got it sir.,PilotT2,pilot/POAllyOutlaw/PilotT2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Affirmative.Weapons_Free,I'm changing range.,PilotT29,pilot/POAllyOutlaw/PilotT29.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative,"Sorry, I can't do that.",PilotT18,pilot/POAllyOutlaw/PilotT18.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative,Can't sir.,PilotT11PO,pilot/POAllyOutlaw/PilotT11PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative.Attack,"Sorry, I can't do that.",PilotT18,pilot/POAllyOutlaw/PilotT18.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative.Attack,Can't sir.,PilotT11PO,pilot/POAllyOutlaw/PilotT11PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative.Move,"Sorry, I can't do that.",PilotT18,pilot/POAllyOutlaw/PilotT18.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative.Move,Can't sir.,PilotT11PO,pilot/POAllyOutlaw/PilotT11PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Command.Negative.Move,I can't get through here. ,PilotT25,pilot/POAllyOutlaw/PilotT25.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Died.Pilot,Outlaw here.. The enemy is too close. I'm getting... Aaaaaaargh!,PODiedPilot,pilot/POAllyOutlaw/PODiedPilot.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Died.Unit.Critical,Outlaw here.. I'm taking hits. ...  Aaaaaaargh!,PODiedUnitCritical,pilot/POAllyOutlaw/PODiedUnitCritical.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Critical,Outlaw here.. I'm getting rattled around in here! Ejecting!,POEjectedCritical,pilot/POAllyOutlaw/POEjectedCritical.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Helpless,Outlaw here.. My Mech' is scrap. Ejecting!,POEjectedHelpless,pilot/POAllyOutlaw/POEjectedHelpless.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Helpless,Outlaw here.. I'm nearly out of weapons! Ejecting!,POEjectedHelpless2,pilot/POAllyOutlaw/POEjectedHelpless2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Helpless,"Outlaw here.. That’s it, I'm out of weapons! Ejecting!",POEjectedHelpless3,pilot/POAllyOutlaw/POEjectedHelpless3.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Scared,Outlaw here.. They are tearing me apart. Ejecting!,POEjectedScared,pilot/POAllyOutlaw/POEjectedScared.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Scared,Outlaw here.. I am losing armor. Ejecting!,POEjectedScared2,pilot/POAllyOutlaw/POEjectedScared2.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Ejected.Scared,Outlaw here.. I am taking enemy fire. Ejecting!,POEjectedScared3,pilot/POAllyOutlaw/POEjectedScared3.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Cheer,Outlaw here.. Target destroyed.,PilotT26PO,pilot/POAllyOutlaw/PilotT26PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Cheer,Outlaw here.. Bagged another one.,PilotT39PO,pilot/POAllyOutlaw/PilotT39PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Cheer,Outlaw here.. Enemy vehicle destroyed!,PilotT40PO,pilot/POAllyOutlaw/PilotT40PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Cheer,Outlaw here.. He came apart real good.,PilotT21PO,pilot/POAllyOutlaw/PilotT21PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Cheer,Outlaw here.. Bagged another one.,PilotT39PO,pilot/POAllyOutlaw/PilotT39PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Cheer,Outlaw here.. He came apart real good.,PilotT21PO,pilot/POAllyOutlaw/PilotT21PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Cheer,Outlaw here.. Enemy Mech' destroyed.,PilotT22PO,pilot/POAllyOutlaw/PilotT22PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Cheer,Outlaw here.. Target destroyed.,PilotT26PO,pilot/POAllyOutlaw/PilotT26PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,Outlaw here.. Bagged another one.,PilotT39PO,pilot/POAllyOutlaw/PilotT39PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,Outlaw here.. He came apart real good.,PilotT21PO,pilot/POAllyOutlaw/PilotT21PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,Outlaw here.. Enemy Mech' destroyed.,PilotT22PO,pilot/POAllyOutlaw/PilotT22PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.KillBlow.Mech.Critical.Cheer,Outlaw here.. Target destroyed.,PilotT26PO,pilot/POAllyOutlaw/PilotT26PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy,"Outlaw here.. Heads up, I've got a new contact.",PilotT31PO,pilot/POAllyOutlaw/PilotT31PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy,Outlaw here.. I've got a new contact.,PilotT32PO,pilot/POAllyOutlaw/PilotT32PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy.VTOL,"Outlaw here.. Heads up, I've got a new contact.",PilotT31PO,pilot/POAllyOutlaw/PilotT31PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy.VTOL,Outlaw here.. I've got a new contact.,PilotT32PO,pilot/POAllyOutlaw/PilotT32PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy.Mech,"Outlaw here.. Heads up, I've got a new contact.",PilotT31PO,pilot/POAllyOutlaw/PilotT31PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy.Mech,Outlaw here.. I've got a new contact.,PilotT32PO,pilot/POAllyOutlaw/PilotT32PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy.Vehicle,"Outlaw here.. Heads up, I've got a new contact.",PilotT31PO,pilot/POAllyOutlaw/PilotT31PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Spot.Enemy.Vehicle,Outlaw here.. I've got a new contact.,PilotT32PO,pilot/POAllyOutlaw/PilotT32PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component,Outlaw here.. They are tearing me apart.,PilotT5PO,pilot/POAllyOutlaw/PilotT5PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component,Outlaw here.. I am losing armor.,PilotT6PO,pilot/POAllyOutlaw/PilotT6PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component,Outlaw here.. I'm taking hits.,PilotT37PO,pilot/POAllyOutlaw/PilotT37PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component,Outlaw here.. I'm taking enemy fire.,PilotT38PO,pilot/POAllyOutlaw/PilotT38PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component,Outlaw here.. I'm nearly out of weapons,PilotT41PO,pilot/POAllyOutlaw/PilotT41PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.LArm,Outlaw here.. They are tearing me apart.,PilotT5PO,pilot/POAllyOutlaw/PilotT5PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.LArm,Outlaw here.. I am losing armor.,PilotT6PO,pilot/POAllyOutlaw/PilotT6PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.LLeg,Outlaw here.. I lost a leg sir.,PilotT20PO,pilot/POAllyOutlaw/PilotT20PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.LTorso,Outlaw here.. I'm getting rattled around in here.,PilotT27PO,pilot/POAllyOutlaw/PilotT27PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.Rarm,Outlaw here.. They are tearing me apart.,PilotT5PO,pilot/POAllyOutlaw/PilotT5PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.Rarm,Outlaw here.. I am losing armor.,PilotT6PO,pilot/POAllyOutlaw/PilotT6PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.RLeg,Outlaw here.. I lost a leg sir.,PilotT20PO,pilot/POAllyOutlaw/PilotT20PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Destroy.Component.RTorso,Outlaw here.. I'm getting rattled around in here.,PilotT27PO,pilot/POAllyOutlaw/PilotT27PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.TakeDamage.Unit.Mech.FriendlyFire.Commander,Outlaw here..  I am losing armor.,PilotT6PO,pilot/POAllyOutlaw/PilotT6PO.wav,,,,,,,,
Outlaw_DV,Outlaw_Persona,DialogueContext.Engagement.Started,Firing from position.,PilotT8,pilot/POAllyOutlaw/PilotT8.wav,,,,,,,,
