DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Time to kick ass!,PilotAB34,pilot/POAllyPaingod/PilotAB34.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Time to earn my pay.,PilotAB36,pilot/POAllyPaingod/PilotAB36.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Paingod.,PilotAB9,pilot/POAllyPaingod/PilotAB9.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Paingod here.,PilotAB10,pilot/POAllyPaingod/PilotAB10.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Time to earn my pay.,PilotAB36,pilot/POAllyPaingod/PilotAB36.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Paingod.,PilotAB9,pilot/POAllyPaingod/PilotAB9.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Paingod here.,PilotAB10,pilot/POAllyPaingod/PilotAB10.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Time to kick ass!,PilotAB34,pilot/POAllyPaingod/PilotAB34.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Time to earn my pay.,PilotAB36,pilot/POAllyPaingod/PilotAB36.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Paingod,PilotAB9,pilot/POAllyPaingod/PilotAB9.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Consider it done.,PilotAB1,pilot/POAllyPaingod/PilotAB1.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Paingod here.,PilotAB10,pilot/POAllyPaingod/PilotAB10.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Time to kick ass!,PilotAB34,pilot/POAllyPaingod/PilotAB34.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Time to earn my pay.,PilotAB36,pilot/POAllyPaingod/PilotAB36.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.Command.Affirmative,Done sir!,PilotAB0,pilot/POAllyPaingod/PilotAB0.wav,,,,,,,,
Paingod_DV,Paingod_Persona,DialogueContext.Command.Affirmative,Consider it done.,PilotAB1,pilot/POAllyPaingod/PilotAB1.wav,,,,,,,,
