DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Payback_DV,Payback_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Back to the fray!,pilotq7,pilot/POAllyPayback/pilotq7.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Payback reporting.,pilotq37,pilot/POAllyPayback/pilotq37.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Payback.,pilotq38,pilot/POAllyPayback/pilotq38.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Payback reporting.,pilotq37,pilot/POAllyPayback/pilotq37.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Payback.,pilotq38,pilot/POAllyPayback/pilotq38.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative,"Aff, my commander.",pilotq0,pilot/POAllyPayback/pilotq0.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative,Affirmative.,pilotq1,pilot/POAllyPayback/pilotq1.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative,I will.,pilotq2,pilot/POAllyPayback/pilotq2.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative,Aye commander.,pilotq36,pilot/POAllyPayback/pilotq36.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,"Aff, my commander.",pilotq0,pilot/POAllyPayback/pilotq0.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,Affirmative.,pilotq1,pilot/POAllyPayback/pilotq1.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,I will.,pilotq2,pilot/POAllyPayback/pilotq2.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,Only a true born could make this shot.,pilotq3,pilot/POAllyPayback/pilotq3.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,I am unworried!,pilotq6,pilot/POAllyPayback/pilotq6.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,You are not worthy of my ordinance.,pilotq32,pilot/POAllyPayback/pilotq32.wav,,,,,,,,
Payback_DV,Payback_Persona,DialogueContext.Command.Affirmative.Attack,Fare well.,pilotq35,pilot/POAllyPayback/pilotq35.wav,,,,,,,,
