DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Psycho_DV,Psycho_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Alright, alright! I'm ready to go!",pilotr7,pilot/POAllyPsycho/pilotr7.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Psycho here.,pilotr37,pilot/POAllyPsycho/pilotr37.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Psycho.,pilotr38,pilot/POAllyPsycho/pilotr38.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,"Alright, alright! I'm ready to go!",pilotr7,pilot/POAllyPsycho/pilotr7.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Psycho here.,pilotr37,pilot/POAllyPsycho/pilotr37.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Psycho.,pilotr38,pilot/POAllyPsycho/pilotr38.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative, 10-4 ,pilotr0,pilot/POAllyPsycho/pilotr0.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative,Alright.,pilotr1,pilot/POAllyPsycho/pilotr1.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative,Roger that.,pilotr2,pilot/POAllyPsycho/pilotr2.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative,No sweat.,pilotr3,pilot/POAllyPsycho/pilotr3.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack, 10-4 ,pilotr0,pilot/POAllyPsycho/pilotr0.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack,Alright.,pilotr1,pilot/POAllyPsycho/pilotr1.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack,Roger that.,pilotr2,pilot/POAllyPsycho/pilotr2.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack,No sweat.,pilotr3,pilot/POAllyPsycho/pilotr3.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack,*laughing* Okay. I got him.,pilotr35,pilot/POAllyPsycho/pilotr35.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack,He's as good as dead.,pilotr36,pilot/POAllyPsycho/pilotr36.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack,You're dead meat!,pilotr33,pilot/POAllyPsycho/pilotr33.wav,,,,,,,,
Psycho_DV,Psycho_Persona,DialogueContext.Command.Affirmative.Attack.Lance, 10-4 ,pilotr0,pilot/POAllyPsycho/pilotr0.wav,,,,,,,,
