DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Raider_DV,Raider_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Engaging Narc'd target.,AttackTargetingFiringAtTargetMarkedWithNarc3,pilot/Raider/AttackTargetingFiringAtTargetMarkedWithNarc3.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Missiles locked on Narc.,AttackTargetingFiringAtTargetMarkedWithNarc2,pilot/Raider/AttackTargetingFiringAtTargetMarkedWithNarc2.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithNarc,Firing on narc.,AttackTargetingFiringAtTargetMarkedWithNarc1,pilot/Raider/AttackTargetingFiringAtTargetMarkedWithNarc1.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Tagged target acquired.,AttackTargetingFiringAtTargetMarkedWithTag2,pilot/Raider/AttackTargetingFiringAtTargetMarkedWithTag2.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Firing on tagged target.,AttackTargetingFiringAtTargetMarkedWithTag3,pilot/Raider/AttackTargetingFiringAtTargetMarkedWithTag3.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.Attack.Targeting.FiringAtTargetMarkedWithTag,Engaging lit target.,AttackTargetingFiringAtTargetMarkedWithTag1,pilot/Raider/AttackTargetingFiringAtTargetMarkedWithTag1.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Huh, cloud shit. That's what we call snow where I'm from.",CharacterDialogueBiomeArctic1,pilot/Raider/CharacterDialogueBiomeArctic1.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Let's hurry this up and get ouytta here. I don't much fancy this cold weather.,CharacterDialogueBiomeArctic2,pilot/Raider/CharacterDialogueBiomeArctic2.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Damn slush ball. Let's hurry this up.,CharacterDialogueBiomeArctic3,pilot/Raider/CharacterDialogueBiomeArctic3.wav,,,,,,,,
Raider_DV,Raider_Persona,DialogueContext.CharacterDialogue.Biome.Arctic.Glacial,And I thought snow was bad. Now we got giant ice cubes? Ugh.,CharacterDialogueBiomeArcticGlacial1,pilot/Raider/CharacterDialogueBiomeArcticGlacial1.wav,,,,,,,,
