DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Heavy hit coming up!,PilotL35,pilot/POAllyRonin/PilotL35.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'll make this hurt!,PilotL36,pilot/POAllyRonin/PilotL36.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Roger that!,PilotL0,pilot/POAllyRonin/PilotL0.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Ronin here.,PilotL9,pilot/POAllyRonin/PilotL9.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Ronin.,PilotL10,pilot/POAllyRonin/PilotL10.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Ronin here.,PilotL9,pilot/POAllyRonin/PilotL9.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Acknowledged.,PilotL1,pilot/POAllyRonin/PilotL1.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Ronin.,PilotL10,pilot/POAllyRonin/PilotL10.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Ronin here.,PilotL9,pilot/POAllyRonin/PilotL9.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Acknowledged.,PilotL1,pilot/POAllyRonin/PilotL1.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Ronin.,PilotL10,pilot/POAllyRonin/PilotL10.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative,Roger that!,PilotL0,pilot/POAllyRonin/PilotL0.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative,Acknowledged.,PilotL1,pilot/POAllyRonin/PilotL1.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative,Yes sir.,PilotL2,pilot/POAllyRonin/PilotL2.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,Roger that!,PilotL0,pilot/POAllyRonin/PilotL0.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,Acknowledged.,PilotL1,pilot/POAllyRonin/PilotL1.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,Yes sir.,PilotL2,pilot/POAllyRonin/PilotL2.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,Engaging from position.,PilotL8,pilot/POAllyRonin/PilotL8.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,Targeting at range.,PilotL29,pilot/POAllyRonin/PilotL29.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,I've got a bead.,PilotL34,pilot/POAllyRonin/PilotL34.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,Heavy hit coming up!,PilotL35,pilot/POAllyRonin/PilotL35.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack,I'll make this hurt!,PilotL36,pilot/POAllyRonin/PilotL36.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that!,PilotL0,pilot/POAllyRonin/PilotL0.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Acknowledged.,PilotL1,pilot/POAllyRonin/PilotL1.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yes sir.,PilotL2,pilot/POAllyRonin/PilotL2.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.lance,Engaging from position.,PilotL8,pilot/POAllyRonin/PilotL8.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.lance,Targeting at range.,PilotL29,pilot/POAllyRonin/PilotL29.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.lance,I've got a bead.,PilotL34,pilot/POAllyRonin/PilotL34.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Heavy hit coming up!,PilotL35,pilot/POAllyRonin/PilotL35.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'll make this hurt!,PilotL36,pilot/POAllyRonin/PilotL36.wav,,,,,,,,
Ronin_DV,Ronin_Persona,DialogueContext.Command.Affirmative.Follow,Roger that!,PilotL0,pilot/POAllyRonin/PilotL0.wav,,,,,,,,
