DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Let's chew'em up!,PilotD34,pilot/POAllyRooster_1/PilotD34.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm all fixed up!,PilotD30,pilot/POAllyRooster_1/PilotD30.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Rooster here.,PilotD9,pilot/POAllyRooster_1/PilotD9.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Rooster!,PilotD10,pilot/POAllyRooster_1/PilotD10.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Rooster here.,PilotD9,pilot/POAllyRooster_1/PilotD9.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Rooster!,PilotD10,pilot/POAllyRooster_1/PilotD10.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Rooster here.,PilotD9,pilot/POAllyRooster_1/PilotD9.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Rooster!,PilotD10,pilot/POAllyRooster_1/PilotD10.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative,"You bet ya, sir!",PilotD0,pilot/POAllyRooster_1/PilotD0.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,"You bet ya, sir!",PilotD0,pilot/POAllyRooster_1/PilotD0.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,I got it sir!,PilotD1,pilot/POAllyRooster_1/PilotD1.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,"Okay, sir!",PilotD2,pilot/POAllyRooster_1/PilotD2.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,I'll shoot from here.,PilotD8,pilot/POAllyRooster_1/PilotD8.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,Changing range.,PilotD29,pilot/POAllyRooster_1/PilotD29.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,Let's chew'em up!,PilotD34,pilot/POAllyRooster_1/PilotD34.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,Locked. Loaded and firing!,PilotD35,pilot/POAllyRooster_1/PilotD35.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack,Like hit'n a tin can on a fence!,PilotD36,pilot/POAllyRooster_1/PilotD36.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"You bet ya, sir!",PilotD0,pilot/POAllyRooster_1/PilotD0.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I got it sir!,PilotD1,pilot/POAllyRooster_1/PilotD1.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Okay, sir!",PilotD2,pilot/POAllyRooster_1/PilotD2.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.lance,I'll shoot from here.,PilotD8,pilot/POAllyRooster_1/PilotD8.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing range.,PilotD29,pilot/POAllyRooster_1/PilotD29.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Let's chew'em up!,PilotD34,pilot/POAllyRooster_1/PilotD34.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Locked. Loaded and firing!,PilotD35,pilot/POAllyRooster_1/PilotD35.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Like hit'n a tin can on a fence!,PilotD36,pilot/POAllyRooster_1/PilotD36.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Follow,"You bet ya, sir!",PilotD0,pilot/POAllyRooster_1/PilotD0.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Follow,I got it sir!,PilotD1,pilot/POAllyRooster_1/PilotD1.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Follow,"Okay, sir!",PilotD2,pilot/POAllyRooster_1/PilotD2.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"You bet ya, sir!",PilotD0,pilot/POAllyRooster_1/PilotD0.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I got it sir!,PilotD1,pilot/POAllyRooster_1/PilotD1.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Okay, sir!",PilotD2,pilot/POAllyRooster_1/PilotD2.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire,"You bet ya, sir!",PilotD0,pilot/POAllyRooster_1/PilotD0.wav,,,,,,,,
Rooster_1_DV,Rooster_1_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I got it sir!,PilotD1,pilot/POAllyRooster_1/PilotD1.wav,,,,,,,,
