DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Once more into the breach.,PilotS36,pilot/POAllyScarab/PilotS36.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Scarab here.,PilotS9,pilot/POAllyScarab/PilotS9.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Scarab.,PilotS10,pilot/POAllyScarab/PilotS10.wav,, ,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Scarab here.,PilotS9,pilot/POAllyScarab/PilotS9.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Scarab.,PilotS10,pilot/POAllyScarab/PilotS10.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Scarab here.,PilotS9,pilot/POAllyScarab/PilotS9.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Scarab.,PilotS10,pilot/POAllyScarab/PilotS10.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative,Excellent sir!,PilotS0,pilot/POAllyScarab/PilotS0.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative,Immediately sir.,PilotS2,pilot/POAllyScarab/PilotS2.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Excellent sir!,PilotS0,pilot/POAllyScarab/PilotS0.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Immediately sir.,PilotS2,pilot/POAllyScarab/PilotS2.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from this position.,PilotS8,pilot/POAllyScarab/PilotS8.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Adjusting my range.,PilotS29,pilot/POAllyScarab/PilotS29.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Once more into the breach.,PilotS36,pilot/POAllyScarab/PilotS36.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Let's see how they like this.,PilotS35,pilot/POAllyScarab/PilotS35.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack,Pressing the attack.,PilotS34,pilot/POAllyScarab/PilotS34.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Excellent sir!,PilotS0,pilot/POAllyScarab/PilotS0.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.Lance,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Immediately sir.,PilotS2,pilot/POAllyScarab/PilotS2.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from this position.,PilotS8,pilot/POAllyScarab/PilotS8.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.lance,Adjusting my range.,PilotS29,pilot/POAllyScarab/PilotS29.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Once more into the breach.,PilotS36,pilot/POAllyScarab/PilotS36.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Let's see how they like this.,PilotS35,pilot/POAllyScarab/PilotS35.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Pressing the attack.,PilotS34,pilot/POAllyScarab/PilotS34.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Follow,Excellent sir!,PilotS0,pilot/POAllyScarab/PilotS0.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Follow,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Follow,Immediately sir.,PilotS2,pilot/POAllyScarab/PilotS2.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Excellent sir!,PilotS0,pilot/POAllyScarab/PilotS0.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Follow.Lance,As ordered sir.,PilotS1,pilot/POAllyScarab/PilotS1.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Immediately sir.,PilotS2,pilot/POAllyScarab/PilotS2.wav,,,,,,,,
Scarab_DV,Scarab_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Excellent sir!,PilotS0,pilot/POAllyScarab/PilotS0.wav,,,,,,,,
