DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Ah, these guys aren't so tough.",pilott32,pilot/POAllyScooter/pilott32.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Time to kick butt.,pilott33,pilot/POAllyScooter/pilott33.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Scooter here.,pilott37,pilot/POAllyScooter/pilott37.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Scooter.,pilott38,pilot/POAllyScooter/pilott38.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Good to go sir!,pilott7,pilot/POAllyScooter/pilott7.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm your man.,pilott0,pilot/POAllyScooter/pilott0.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Time to kick butt.,pilott33,pilot/POAllyScooter/pilott33.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Scooter here.,pilott37,pilot/POAllyScooter/pilott37.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Scooter.,pilott38,pilot/POAllyScooter/pilott38.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative,I'm your man.,pilott0,pilot/POAllyScooter/pilott0.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative,You betcha.,pilott1,pilot/POAllyScooter/pilott1.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative,Whatever you say.,pilott2,pilot/POAllyScooter/pilott2.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative.Attack,I'm your man.,pilott0,pilot/POAllyScooter/pilott0.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative.Attack,You betcha.,pilott1,pilot/POAllyScooter/pilott1.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative.Attack,Whatever you say.,pilott2,pilot/POAllyScooter/pilott2.wav,,,,,,,,
Scooter_DV,Scooter_Persona,DialogueContext.Command.Affirmative.Attack,One trick shot. Coming up!,pilott3,pilot/POAllyScooter/pilott3.wav,,,,,,,,
