DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Here we go. here we go!,PilotC34,pilot/POAllySiren/PilotC34.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Siren here.,PilotC9,pilot/POAllySiren/PilotC9.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Siren.,PilotC10,pilot/POAllySiren/PilotC10.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'll take care of it.,PilotC0,pilot/POAllySiren/PilotC0.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Siren here.,PilotC9,pilot/POAllySiren/PilotC9.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Siren.,PilotC10,pilot/POAllySiren/PilotC10.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Siren here.,PilotC9,pilot/POAllySiren/PilotC9.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Yes, sir.",PilotC1,pilot/POAllySiren/PilotC1.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Siren.,PilotC10,pilot/POAllySiren/PilotC10.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative,I'll take care of it.,PilotC0,pilot/POAllySiren/PilotC0.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative,"Yes, sir.",PilotC1,pilot/POAllySiren/PilotC1.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative,I got it!,PilotC2,pilot/POAllySiren/PilotC2.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,I'll take care of it.,PilotC0,pilot/POAllySiren/PilotC0.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,"Yes, sir.",PilotC1,pilot/POAllySiren/PilotC1.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,I got it!,PilotC2,pilot/POAllySiren/PilotC2.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotC8,pilot/POAllySiren/PilotC8.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,Changing attack range.,PilotC29,pilot/POAllySiren/PilotC29.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,Here we go. here we go!,PilotC34,pilot/POAllySiren/PilotC34.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,You're gonna feel this!,PilotC35,pilot/POAllySiren/PilotC35.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack,This has your name on it!,PilotC36,pilot/POAllySiren/PilotC36.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'll take care of it.,PilotC0,pilot/POAllySiren/PilotC0.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Yes, sir.",PilotC1,pilot/POAllySiren/PilotC1.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I got it!,PilotC2,pilot/POAllySiren/PilotC2.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here.,PilotC8,pilot/POAllySiren/PilotC8.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing attack range.,PilotC29,pilot/POAllySiren/PilotC29.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Here we go. here we go!,PilotC34,pilot/POAllySiren/PilotC34.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You're gonna feel this!,PilotC35,pilot/POAllySiren/PilotC35.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This has your name on it!,PilotC36,pilot/POAllySiren/PilotC36.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Follow,I'll take care of it.,PilotC0,pilot/POAllySiren/PilotC0.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Follow,"Yes, sir.",PilotC1,pilot/POAllySiren/PilotC1.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Follow,I got it!,PilotC2,pilot/POAllySiren/PilotC2.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I'll take care of it.,PilotC0,pilot/POAllySiren/PilotC0.wav,,,,,,,,
Siren_DV,Siren_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Yes, sir.",PilotC1,pilot/POAllySiren/PilotC1.wav,,,,,,,,
