DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Time to dance!,PilotH36,pilot/POAllySkater/PilotH36.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Piece of cake.,PilotH0,pilot/POAllySkater/PilotH0.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm your man.,PilotH1,pilot/POAllySkater/PilotH1.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Skater here. ,PilotH9,pilot/POAllySkater/PilotH9.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Skater.,PilotH10,pilot/POAllySkater/PilotH10.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Skater here. ,PilotH9,pilot/POAllySkater/PilotH9.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm your man.,PilotH1,pilot/POAllySkater/PilotH1.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Skater.,PilotH10,pilot/POAllySkater/PilotH10.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Skater here. ,PilotH9,pilot/POAllySkater/PilotH9.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'm your man.,PilotH1,pilot/POAllySkater/PilotH1.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Skater.,PilotH10,pilot/POAllySkater/PilotH10.wav,,,,,,,,
Skater_DV,Skater_Persona,DialogueContext.Command.Affirmative,Piece of cake.,PilotH0,pilot/POAllySkater/PilotH0.wav,,,,,,,,
