DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Locked and loaded boss, give the order.",Barracks-Intro,pilot/Snowshoe/Barracks-Intro.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,"Locked and loaded boss, give the order.",Barracks-Intro,pilot/Snowshoe/Barracks-Intro.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Locked and loaded boss, give the order.",Barracks-Intro,pilot/Snowshoe/Barracks-Intro.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"Oh, reminds me a bit of home out there, you know, just colder.",Biome-Arctic-001,pilot/Snowshoe/Biome-Arctic-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,"You know for once, I'm actually kind of glad to have a hot reactor in the mech.",Biome-Arctic-002,pilot/Snowshoe/Biome-Arctic-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Arctic,Ah hell I need to scrape some ice off the cockpit.,Biome-Arctic-003,pilot/Snowshoe/Biome-Arctic-003.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Oh, these canyons are starting to make me nervous, that’s an easy ambush from up there.",Biome-Canyon-001,pilot/Snowshoe/Biome-Canyon-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Ah, narrow passages and blind corners. Lovely.",Biome-Canyon-002,pilot/Snowshoe/Biome-Canyon-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Canyon,"Careful out there you don't want to go running of the edge of that cliff, that is a long way down.",Biome-Canyon-003,pilot/Snowshoe/Biome-Canyon-003.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,Keep an eye out on those ridge lines. All those trees make it an easy ambush.,Biome-Canyon-Lush-001,pilot/Snowshoe/Biome-Canyon-Lush-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Canyon.Lush,Be careful you don't trip on a root. You don't want to go falling into that canyon.,Biome-Canyon-Lush-002,pilot/Snowshoe/Biome-Canyon-Lush-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,"Ah, I am going to be cleaning dust out of the actuators for months.",Biome-Desert-001,pilot/Snowshoe/Biome-Desert-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,"Ah, doesn't look like there is much to see out there. Just sand and more sand.",Biome-Desert-002,pilot/Snowshoe/Biome-Desert-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike.Desert,"Well, this is certainly going to stress out the heatsinks.",Biome-Desert-003,pilot/Snowshoe/Biome-Desert-003.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike,"Yeah, I wouldn't mind retiring in a place like this.",Biome-Earthlike-001,pilot/Snowshoe/Biome-Earthlike-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike,"Well, this place is pretty nice. It won't be for too long with us here, but you know.",Biome-Earthlike-002,pilot/Snowshoe/Biome-Earthlike-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Earthlike,"Ha, figures. We finally get to a nice planet and now we gotta go tear it up.",Biome-Earthlike-003,pilot/Snowshoe/Biome-Earthlike-003.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"Gah, I wish we weren't tearing this place up. Look at the colors out there.",Biome-Forest-Fall-001,pilot/Snowshoe/Biome-Forest-Fall-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"Ah, it's beautiful out there. Wouldn't mind a vacation, once we are done with the fighting.",Biome-Forest-Fall-002,pilot/Snowshoe/Biome-Forest-Fall-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Autumn,"All these leaves are going to help with the camouflage, but that goes for both sides. So keep an eye out.",Biome-Forest-Fall-003,pilot/Snowshoe/Biome-Forest-Fall-003.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,"Hey uh, what say we drop this contract and just take a vacation.",Biome-Forest-Summer-001,pilot/Snowshoe/Biome-Forest-Summer-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,"Hey uh, keep an eye out for any good fishing spots.",Biome-Forest-Summer-002,pilot/Snowshoe/Biome-Forest-Summer-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Summer,"Uh, shame were about to raise some hell down there. It’s a good looking place.",Biome-Forest-Summer-003,pilot/Snowshoe/Biome-Forest-Summer-003.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Winter,"Yeah, this has got me right in my element here.",Biome-Forest-Winter-001,pilot/Snowshoe/Biome-Forest-Winter-001.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Winter,"Ah, now this, this is home.",Biome-Forest-Winter-002,pilot/Snowshoe/Biome-Forest-Winter-002.wav,,,,,,,,
Snowshoe_DV,Snowshoe_Persona,DialogueContext.CharacterDialogue.Biome.Forest.Winter,"Yeah, this brings me right back home.",Biome-Forest-Winter-003,pilot/Snowshoe/Biome-Forest-Winter-003.wav,,,,,,,,
