DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Mission.Intro,My Mech's bright and shiny. Here we go!,POIntro,pilot/POAllySpice/POIntro.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I'm Spice.,PilotI9,pilot/POAllySpice/PilotI9.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Spice,PilotI10,pilot/POAllySpice/PilotI10.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm Spice.,PilotI9,pilot/POAllySpice/PilotI9.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Spice,PilotI10,pilot/POAllySpice/PilotI10.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'm Spice.,PilotI9,pilot/POAllySpice/PilotI9.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Spice,PilotI10,pilot/POAllySpice/PilotI10.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,Shooting from here.,PilotI8,pilot/POAllySpice/PilotI8.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,Moving to range.,PilotI29,pilot/POAllySpice/PilotI29.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,Here we go!,PilotI34,pilot/POAllySpice/PilotI34.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,"Hey guys, watch this shot!",PilotI35,pilot/POAllySpice/PilotI35.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,This is just for you!,PilotI36,pilot/POAllySpice/PilotI36.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack,I'm all over 'em. ,PilotI15,pilot/POAllySpice/PilotI15.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.lance,Shooting from here.,PilotI8,pilot/POAllySpice/PilotI8.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.lance,Moving to range.,PilotI29,pilot/POAllySpice/PilotI29.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.lance,Here we go!,PilotI34,pilot/POAllySpice/PilotI34.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Hey guys, watch this shot!",PilotI35,pilot/POAllySpice/PilotI35.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This is just for you!,PilotI36,pilot/POAllySpice/PilotI36.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I'm all over 'em. ,PilotI15,pilot/POAllySpice/PilotI15.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Follow,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Follow,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Follow,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Stopping as ordered.,PilotI33,pilot/POAllySpice/PilotI33.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Stopping as ordered.,PilotI33,pilot/POAllySpice/PilotI33.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Move,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Move,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Move,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Move.Lance,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Move.Lance,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Move.Lance,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Shooting from here.,PilotI8,pilot/POAllySpice/PilotI8.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Good thinking. I'm on it!,PilotI0,pilot/POAllySpice/PilotI0.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Weapons_Free,I'm on it!,PilotI1,pilot/POAllySpice/PilotI1.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Should have seen that myself.,PilotI2,pilot/POAllySpice/PilotI2.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Moving to range.,PilotI29,pilot/POAllySpice/PilotI29.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative,Can't sir!,PilotI11PO,pilot/POAllySpice/PilotI11PO.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative,I…. I can't do that sir.,PilotI18,pilot/POAllySpice/PilotI18.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative.Attack,Can't sir!,PilotI11PO,pilot/POAllySpice/PilotI11PO.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative.Attack,I…. I can't do that sir.,PilotI18,pilot/POAllySpice/PilotI18.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative.Move,Can't sir!,PilotI11PO,pilot/POAllySpice/PilotI11PO.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative.Move,I…. I can't do that sir.,PilotI18,pilot/POAllySpice/PilotI18.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Command.Negative.Move,There's no way through.,PilotI25,pilot/POAllySpice/PilotI25.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Died.Pilot,This is Spice.. I'm taking heavy damage... Aaaaaaargh!,PODiedPilot,pilot/POAllySpice/PODiedPilot.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Died.Unit.Critical,This is Spice.. I'm taking hits! Damn! ...  Aaaaaaargh!,PODiedUnitCritical,pilot/POAllySpice/PODiedUnitCritical.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Ejected.Critical,This is Spice.. I'm taking heavy damage! Ejecting!,POEjectedCritical,pilot/POAllySpice/POEjectedCritical.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Ejected.Helpless,This is Spice.. Damn! Sir my Mech's trashed! Ejecting!,POEjectedHelpless,pilot/POAllySpice/POEjectedHelpless.wav,,,,,,,,
Spice_DV,Spice_Persona,DialogueContext.Ejected.Helpless,This is Spice.. My guns are nearly useless! Ejecting!,POEjectedHelpless2,pilot/POAllySpice/POEjectedHelpless2.wav,,,,,,,,
