DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Steel_DV,Steel_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Let's get on with it.,pilotv33,pilot/POAllySteel/pilotv33.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Steel reporting.,pilotv37,pilot/POAllySteel/pilotv37.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Steel.,pilotv38,pilot/POAllySteel/pilotv38.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I'm back in action!,pilotv7,pilot/POAllySteel/pilotv7.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Steel reporting.,pilotv37,pilot/POAllySteel/pilotv37.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Steel.,pilotv38,pilot/POAllySteel/pilotv38.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Concentrating fire!,pilotv3,pilot/POAllySteel/pilotv3.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Target acknowledged.,pilotv35,pilot/POAllySteel/pilotv35.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Roger that. Target confirmed.,pilotv36,pilot/POAllySteel/pilotv36.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Let's get on with it.,pilotv33,pilot/POAllySteel/pilotv33.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack,Stay right there…,pilotv31,pilot/POAllySteel/pilotv31.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Concentrating fire!,pilotv3,pilot/POAllySteel/pilotv3.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target acknowledged.,pilotv35,pilot/POAllySteel/pilotv35.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that. Target confirmed.,pilotv36,pilot/POAllySteel/pilotv36.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Stay right there…,pilotv31,pilot/POAllySteel/pilotv31.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Let's get on with it.,pilotv33,pilot/POAllySteel/pilotv33.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Follow,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Follow,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Follow,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Follow.Lance,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Hold_Fire,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Roger.,pilotv0,pilot/POAllySteel/pilotv0.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,You got it sir!,pilotv1,pilot/POAllySteel/pilotv1.wav,,,,,,,,
Steel_DV,Steel_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Affirmative!,pilotv2,pilot/POAllySteel/pilotv2.wav,,,,,,,,
