DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Time to die!,PilotAA34,pilot/POAllyThunder/PilotAA34.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Thunder.,PilotAA9,pilot/POAllyThunder/PilotAA9.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Thunder here.,PilotAA10,pilot/POAllyThunder/PilotAA10.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Thunder.,PilotAA9,pilot/POAllyThunder/PilotAA9.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Thunder here.,PilotAA10,pilot/POAllyThunder/PilotAA10.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Thunder.,PilotAA9,pilot/POAllyThunder/PilotAA9.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Thunder here.,PilotAA10,pilot/POAllyThunder/PilotAA10.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Attacking from here.,PilotAA8,pilot/POAllyThunder/PilotAA8.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Moving to range.,PilotAA29,pilot/POAllyThunder/PilotAA29.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,I have a target.,PilotAA36,pilot/POAllyThunder/PilotAA36.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Commencing attack run.,PilotAA35,pilot/POAllyThunder/PilotAA35.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,Time to die!,PilotAA34,pilot/POAllyThunder/PilotAA34.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack,He will never see me coming!,PilotAA15,pilot/POAllyThunder/PilotAA15.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.lance,Attacking from here.,PilotAA8,pilot/POAllyThunder/PilotAA8.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.lance,Moving to range.,PilotAA29,pilot/POAllyThunder/PilotAA29.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I have a target.,PilotAA36,pilot/POAllyThunder/PilotAA36.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Commencing attack run.,PilotAA35,pilot/POAllyThunder/PilotAA35.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Time to die!,PilotAA34,pilot/POAllyThunder/PilotAA34.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Attack.lance,He will never see me coming!,PilotAA15,pilot/POAllyThunder/PilotAA15.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Follow,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Follow,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Follow,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I'm stopping.,PilotAA33,pilot/POAllyThunder/PilotAA33.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,I'm stopping.,PilotAA33,pilot/POAllyThunder/PilotAA33.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Leave it to me.,PilotAA2,pilot/POAllyThunder/PilotAA2.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Move,Already taken care of.,PilotAA0,pilot/POAllyThunder/PilotAA0.wav,,,,,,,,
Thunder_DV,Thunder_Persona,DialogueContext.Command.Affirmative.Move,Acknowledged!,PilotAA1,pilot/POAllyThunder/PilotAA1.wav,,,,,,,,
