DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Oh boy. Here we go!,pilotw31,pilot/POAllyTwitch/pilotw31.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Come on, come on, come on!",pilotw33,pilot/POAllyTwitch/pilotw33.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Mission.Intro,"Ah, Twitch here.",pilotw37,pilot/POAllyTwitch/pilotw37.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Twitch reporting.,pilotw38,pilot/POAllyTwitch/pilotw38.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Where do you want me to park it?,pilotw39,pilot/POAllyTwitch/pilotw39.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,"Ah, Twitch here.",pilotw37,pilot/POAllyTwitch/pilotw37.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Twitch reporting.,pilotw38,pilot/POAllyTwitch/pilotw38.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative,I got it. I got it!,pilotw1,pilot/POAllyTwitch/pilotw1.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative,"Yeah, sure you got it.",pilotw2,pilot/POAllyTwitch/pilotw2.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative,You want me to what? Okay..,pilotw3,pilot/POAllyTwitch/pilotw3.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack,I got it. I got it!,pilotw1,pilot/POAllyTwitch/pilotw1.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack,"Yeah, sure you got it.",pilotw2,pilot/POAllyTwitch/pilotw2.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack,You want me to what? Okay..,pilotw3,pilot/POAllyTwitch/pilotw3.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack,Yeah target acknowledged.,pilotw35,pilot/POAllyTwitch/pilotw35.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack,Roger that target.,pilotw36,pilot/POAllyTwitch/pilotw36.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack.Lance,I got it. I got it!,pilotw1,pilot/POAllyTwitch/pilotw1.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Yeah, sure you got it.",pilotw2,pilot/POAllyTwitch/pilotw2.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack.Lance,You want me to what? Okay..,pilotw3,pilot/POAllyTwitch/pilotw3.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Yeah target acknowledged.,pilotw35,pilot/POAllyTwitch/pilotw35.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that target.,pilotw36,pilot/POAllyTwitch/pilotw36.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow,I got it. I got it!,pilotw1,pilot/POAllyTwitch/pilotw1.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow,"Yeah, sure you got it.",pilotw2,pilot/POAllyTwitch/pilotw2.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow,You want me to what? Okay..,pilotw3,pilot/POAllyTwitch/pilotw3.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow.Lance,I got it. I got it!,pilotw1,pilot/POAllyTwitch/pilotw1.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow.Lance,"Yeah, sure you got it.",pilotw2,pilot/POAllyTwitch/pilotw2.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Follow.Lance,You want me to what? Okay..,pilotw3,pilot/POAllyTwitch/pilotw3.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Hold_Fire,I got it. I got it!,pilotw1,pilot/POAllyTwitch/pilotw1.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Hold_Fire,"Yeah, sure you got it.",pilotw2,pilot/POAllyTwitch/pilotw2.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Hold_Fire,You want me to what? Okay..,pilotw3,pilot/POAllyTwitch/pilotw3.wav,,,,,,,,
Twitch_DV,Twitch_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Roger.,pilotw0,pilot/POAllyTwitch/pilotw0.wav,,,,,,,,
