DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Mission.Intro,I should get paid by the piece. ,pilotx32,pilot/POAllyVenom/pilotx32.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Venom reporting.,pilotx37,pilot/POAllyVenom/pilotx37.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Venom.,pilotx38,pilot/POAllyVenom/pilotx38.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Got this crate moving again.,pilotx7,pilot/POAllyVenom/pilotx7.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,I should get paid by the piece. ,pilotx32,pilot/POAllyVenom/pilotx32.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Venom reporting.,pilotx37,pilot/POAllyVenom/pilotx37.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Venom.,pilotx38,pilot/POAllyVenom/pilotx38.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Taking aim!,pilotx3,pilot/POAllyVenom/pilotx3.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Target locked.,pilotx35,pilot/POAllyVenom/pilotx35.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Roger that. Target confirmed.,pilotx36,pilot/POAllyVenom/pilotx36.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack,Eat this.,pilotx33,pilot/POAllyVenom/pilotx33.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Taking aim!,pilotx3,pilot/POAllyVenom/pilotx3.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Target locked.,pilotx35,pilot/POAllyVenom/pilotx35.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Roger that. Target confirmed.,pilotx36,pilot/POAllyVenom/pilotx36.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Eat this.,pilotx33,pilot/POAllyVenom/pilotx33.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Follow,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Follow,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Follow,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Follow.Lance,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Hold_Fire,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Hold_Fire.Lance,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Move,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Move,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Move,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Move.Lance,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Move.Lance,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Move.Lance,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Affirmative.,pilotx0,pilot/POAllyVenom/pilotx0.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Roger that.,pilotx1,pilot/POAllyVenom/pilotx1.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Affirmative.Weapons_Free,Sure no problem.,pilotx2,pilot/POAllyVenom/pilotx2.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Negative,Cannot comply.,pilotx23,pilot/POAllyVenom/pilotx23.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Negative.Attack,Cannot comply.,pilotx23,pilot/POAllyVenom/pilotx23.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Negative.Move,My path is blocked.,pilotx22,pilot/POAllyVenom/pilotx22.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Negative.Move,Cannot comply.,pilotx23,pilot/POAllyVenom/pilotx23.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Command.Success.Move,Guarding this position.,pilotx34,pilot/POAllyVenom/pilotx34.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Died.Pilot,Venom reporting.. *Screaming* Ahhh!,pilotx25POA,pilot/POAllyVenom/pilotx25POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Died.Unit.Critical,Venom reporting.. *Screaming* Ahhh!,pilotx25POA,pilot/POAllyVenom/pilotx25POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Ejected.Critical,Venom reporting.. Ejecting!,pilotx24POA,pilot/POAllyVenom/pilotx24POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Ejected.Helpless,Venom reporting.. Ejecting!,pilotx24POA,pilot/POAllyVenom/pilotx24POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Ejected.Helpless,Venom reporting.. No weapons left. Want me to bleed on him? Ejecting!,pilotx29POA,pilot/POAllyVenom/pilotx29POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Ejected.Helpless,Venom reporting.. My ammo's out. Ejecting!,pilotx30POA,pilot/POAllyVenom/pilotx30POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Ejected.Scared,Venom reporting.. Ejecting!,pilotx24POA,pilot/POAllyVenom/pilotx24POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Engagement.Started,Venom reporting.. I'm gonna make this hurt!,pilotx31POA,pilot/POAllyVenom/pilotx31POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Engagement.Started,Venom reporting.. I should get paid by the piece. ,pilotx32POA,pilot/POAllyVenom/pilotx32POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.Engagement.Started,Venom reporting.. I can handle it!,pilotx6POA,pilot/POAllyVenom/pilotx6POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.KillBlow.Cheer,Venom reporting.. Target destroyed. Next!,pilotx8POA,pilot/POAllyVenom/pilotx8POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.KillBlow.Cheer,Venom reporting.. Vehicle toasted!,pilotx10POA,pilot/POAllyVenom/pilotx10POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.KillBlow.Cheer,Venom reporting.. Vehicle destroyed.,pilotx11POA,pilot/POAllyVenom/pilotx11POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.KillBlow.Cheer,Venom reporting.. Smoked him.,pilotx12POA,pilot/POAllyVenom/pilotx12POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.KillBlow.Mech.Cheer,Venom reporting.. Target destroyed. Next!,pilotx8POA,pilot/POAllyVenom/pilotx8POA.wav,,,,,,,,
Venom_DV,Venom_Persona,DialogueContext.KillBlow.Mech.Cheer,Venom reporting.. Smoked him.,pilotx12POA,pilot/POAllyVenom/pilotx12POA.wav,,,,,,,,
