DialogueVoice,Persona,GameplayTag,Caption,Name,SourcePath,MaxPlaysPerCampaign,MaxPlaysPerMission,CooldownNumMissions,CooldownTimeSeconds,AllowSelfContextInterrupt,AllowLowerPriorityInterrupt,IsServerOnly,IsLineDisabled
Vixen_DV,Vixen_Persona,DialogueContext.CharacterDialogue.Mission.Intro,This is Vixen.,PilotAD9,pilot/POAllyVixen/PilotAD9.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.CharacterDialogue.Mission.Intro,Vixen here.,PilotAD10,pilot/POAllyVixen/PilotAD10.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,This is Vixen.,PilotAD9,pilot/POAllyVixen/PilotAD9.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.CharacterDialogue.Pilot.Hired,Vixen here.,PilotAD10,pilot/POAllyVixen/PilotAD10.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,This is Vixen.,PilotAD9,pilot/POAllyVixen/PilotAD9.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.CharacterDialogue.Pilot.Intro,Vixen here.,PilotAD10,pilot/POAllyVixen/PilotAD10.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative,Leave it to me sir.,PilotAD0,pilot/POAllyVixen/PilotAD0.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,Leave it to me sir.,PilotAD0,pilot/POAllyVixen/PilotAD0.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,"You got it, sir.",PilotAD1,pilot/POAllyVixen/PilotAD1.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,"Understood, sir.",PilotAD2,pilot/POAllyVixen/PilotAD2.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,Firing from here.,PilotAD8,pilot/POAllyVixen/PilotAD8.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,Changing combat range.,PilotAD29,pilot/POAllyVixen/PilotAD29.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,On the attack!,PilotAD34,pilot/POAllyVixen/PilotAD34.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,Get it! Get it!,PilotAD35,pilot/POAllyVixen/PilotAD35.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack,Going for the kill.,PilotAD36,pilot/POAllyVixen/PilotAD36.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Leave it to me sir.,PilotAD0,pilot/POAllyVixen/PilotAD0.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"You got it, sir.",PilotAD1,pilot/POAllyVixen/PilotAD1.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.Lance,"Understood, sir.",PilotAD2,pilot/POAllyVixen/PilotAD2.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.lance,Firing from here.,PilotAD8,pilot/POAllyVixen/PilotAD8.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.lance,Changing combat range.,PilotAD29,pilot/POAllyVixen/PilotAD29.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.Lance,This is Vixen.,PilotAD9,pilot/POAllyVixen/PilotAD9.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Get it! Get it!,PilotAD35,pilot/POAllyVixen/PilotAD35.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Attack.Lance,Going for the kill.,PilotAD36,pilot/POAllyVixen/PilotAD36.wav,,,,,,,,
Vixen_DV,Vixen_Persona,DialogueContext.Command.Affirmative.Follow,Leave it to me sir.,PilotAD0,pilot/POAllyVixen/PilotAD0.wav,,,,,,,,
